PMID,NCTID,CombnID,DLT_Name,Grade,Duration,DLT_Exculsion,Comments
32545260,NCT02277197,38,Grade 3 thrombocytopenia with bleeding,3,NA,NA,NA
32545260,NCT02277197,38,Grade 4 neutropenia orthrombocytopenia,4,NA,NA,NA
32545260,NCT02277197,38,AST or ALT elevation ≥ 3-fold the upper limit of normal (ULN) with concurrentelevation of bilirubin ≥ 2-fold ULN,NA,NA,NA,NA
32545260,NCT02277197,38,ficlatuzumab-related toxicity requiring a dose reduction or resultingin ≥ 2 missed doses.,NA,NA,NA,NA
32545260,NCT02277197,38,NA,NA,NA,NA,NA
27311401,NA,42,grade 4 neutropenia,4,NA,NA,NA
27311401,NA,42,grade 4infection with grade 3/4 neutropenia,4,NA,NA,NA
27311401,NA,42,grade 4 thrombocytopenia with bleeding,4,NA,NA,NA
27311401,NA,42,Non-hematologic DLT was defined as palbociclibrelated grade 3/4 toxicity except: sub-optimally treated nausea/vomiting/diarrhea or grade 3 metabolic abnormalities.,>=3,NA,NA,NA
27311401,NA,42,NA,4,NA,NA,NA
28600476,NCT01482377,43,"grade 4 neutropenia (i.e., absolute neutrophil count <0.5  109 cells/L for a minimal duration of 7 days);",4,NA,NA,NA
28600476,NCT01482377,43,febrile neutropenia grade 3/4,>=3,NA,NA,NA
28600476,NCT01482377,43,; grade 4 thrombocytopenia;,4,NA,NA,NA
28600476,NCT01482377,43,grade 3 thrombocytopenia associated with bleeding episodes,3,NA,NA,NA
28600476,NCT01482377,43,grade >= 3nonhematologic toxicity,>=3,NA,NA,NA
27729313,NCT01787500,45,NA,4,NA,NA,Did not find in the paper
27729313,NCT01787500,45,NA,4,NA,NA,NA
34251048,NCT01755975,48,>=grade 3 non-hematologic toxicities,>=3,NA,NA,NA
34251048,NCT01755975,48,grade four hematologic toxicities,4,NA,NA,NA
34251048,NCT01755975,48,"grade three thrombocytopenia orneutropenia that resulted in a >3 day delay in romidepsin dosing,",3,NA,NA,NA
34251048,NCT01755975,48,greater than 1 week delay in initiating cycle two day 1 due to continued drug related toxicity,4,NA,NA,NA
34251048,NCT01755975,48,NA,4,NA,NA,NA
31005227,NA,49,NA,4,NA,NA,NA
31005227,NA,49,"any toxicity-related treatment break greater thantwo weeks during CRT,",NA,NA,NA,NA
32335709,NA,50,NA,4,NA,NA,DLT is not defined in the paper
32335709,NA,50,NA,4,NA,NA,NA
28054329,NA,51,"Grade 3 or 4 nonhematologic toxicity (except for nausea or vomiting, anorexia,and allergic reactions or hypersensitivity symptoms),",>=3,NA,NA,NA
28054329,NA,51,Grade 4hematologic toxicity,4,NA,NA,NA
28054329,NA,51,Grade 4 decreased neutrophil counts(<500/mm3) lasting for five or more days,4,NA,NA,NA
28054329,NA,51,Grade 3 decreased neutrophil counts (<1000 to 500/mm3) with a fever of38.0 °C or greater,3,NA,NA,NA
28054329,NA,51,NA,4,NA,NA,NA
32122924,NCT02889523,52,"ADLT was defined as an AE or clinically significant abnormal laboratoryvalue attributable to tazemetostat or to the combination of tazemetostat and R-CHOP and unrelated to disease progression, intercurrentillness, or concomitant medication.",4,NA,NA,NA
32122924,NCT02889523,52,NA,4,NA,NA,NA
32381487, NCT03168061,53,grade 2 increase in serumaspartate aminotransferase or alanine aminotransferase in combination with a grade 2 increase in serum bilirub,2,NA,NA,NA
32381487, NCT03168061,53,febrile neutropenia;,NA,NA,NA,NA
32381487, NCT03168061,53,grade 4 neutropenia lasting more than 7 days and unresponsive togrowth factor administration,4,NA,NA,NA
32381487, NCT03168061,53,grade 4 thrombocytopenia;,4,NA,NA,NA
32381487, NCT03168061,53,"grade 3thrombocytopenia, with clinically significant bleeding or requiring aplatelet transfusion",3,NA,NA,NA
32381487, NCT03168061,53,"grade 3 or grade 4 nonhematological toxicity(excluding alopecia and grade 3 nausea, vomiting, diarrhea, andelectrolyte imbalances lasting less than 48 hours or with suboptimalprophylactic);",>=3,NA,NA,NA
32381487, NCT03168061,53,"grade 3 nausea, vomiting, diarrhea, or electrolyteimbalances lasting >48 hours despite optimal prophylactic;",3,NA,NA,NA
32381487, NCT03168061,53,"grade 4vomiting, diarrhea, or electrolyte imbalances of any duration despiteoptimal prophylactic",4,NA,NA,NA
32381487, NCT03168061,53,≥grade 3 hypersensitivity reaction and dosingdelay >21 days due to toxicity,>=3,NA,NA,NA
31675535,NCT00856037,54,grade 4 neutropenia lasting more than 7 days or febrile neutropenia,4,NA,NA,NA
31675535,NCT00856037,54,grade 4thrombocytopenia or grade 3 thrombocytopenia requiring platelettransfusion,>=3,NA,NA,NA
31675535,NCT00856037,54,"World Health Organization (WHO) grade 3/4 non-hematological toxicity, excluding nausea and alopecia.",>=3,NA,NA,NA
31675535,NCT00856037,54,NA,4,NA,NA,NA
26903311,NCT00878904,55,grade 3 or 4 non-hematological toxicity,>=3,NA,NA,NA
26903311,NCT00878904,55,"grade 4 hematological toxicity other than grade 4 neutropenia <8days,",4,NA,NA,NA
26903311,NCT00878904,55,toxicities reducing dose delivery in cycle 1 to <75% of planned dose,NA,NA,NA,NA
26903311,NCT00878904,55,NA,4,NA,NA,NA
33219014,NCT02779855,56,any treatment-related grade 3 or higher adverse event occurringduring the first 5 weeks of study treatment leading to treatmentdelays greater than 14 days or any systemic herpetic infection.,>=3,NA,NA,NA
29856514,NA,57,anygrade 3 or 4 nonhematological toxicity determined probably or definitely related to metformin,>=3,NA,TRUE,NA
29856514,NA,57,Persistent marrow aplasia at Day 44,NA,NA,NA,NA
29856514,NA,57,Grade 3 or4 lactic acidosis,>=3,NA,NA,NA
29856514,NA,57,grade 3 or 4 hypoglycemia,>=3,NA,NA,NA
29856514,NA,57,NA,4,NA,NA,NA
27403082,NCT00878800,58,absoluteneutrophil count <0.5 ∗ 109/L lasting for ≥7 days,NA,NA,NA,NA
27403082,NCT00878800,58,absoluteneutrophil count <0.5 ∗ 109/L with fever >39∘C,NA,NA,NA,NA
27403082,NCT00878800,58,platelet count<25 ∗ 109/L,NA,NA,NA,NA
27403082,NCT00878800,58,"any other drug-related grade 3 or 4nonhaematological toxicity (with the exception of alopecia,brief nausea and vomiting, diarrhoea, rash, arthralgia, andmyalgia).",>=3,NA,NA,"grade 3 nausea and/or
vomiting persisted or if grade 4 diarrhoea in spite of standard
therapeutic measures persisted or there was inability to tolerate a full 5-day dosing cycle due to toxicity or any drug-related
adverse events resulting in more than a 14-day treatment
delay, these were included in the DLT definition"
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902 ,59,Grade 2 or greater haemorrhagic event requiring medical intervention or any intracranial haemorrhage,>=2,NA,NA,NA
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902 ,59,"Grade 3 or greater non-haematological toxicity at least possibly related to acalabrutinib (including grade 3 or 4 biochemical AEs). The following will be excluded; Grade 3 or 4 nausea in participants who have not received optimal treatment with anti-emetics, Grade 3 or 4 diarrhoea in participants who have not received optimal treatment with anti-diarrhoeal therapy, alopecia and those participants experiencing grade 3 or 4 administration reactions from rituximab.",>=3,NA,NA,NA
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902 ,59,Grade 4 thrombocytopenia or neutropenia for more than 7 days despite GCSF use,4,NA,NA,NA
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902 ,59,"Any complete, continuous dose interruption more than 7 days for acalabrutinib related toxicities of grade 2 or greater within cycle 2",NA,NA,NA,NA
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902 ,59,NA,NA,NA,NA,NA
33602316,NCT01839097,60,Any≥Grade 3 nonhematological toxicity,>=3,NA,NA,NA
33602316,NCT01839097,60,Platelet count of 25×109/L for≥7  days or platelet nadir 10×109/L at any time,4,NA,NA,NA
33602316,NCT01839097,60,Failure to recover platelet count≥75×109/L and/or ANC≥1.5×109/L by Day 28,4,NA,NA,NA
33602316,NCT01839097,60,ANC<0.5×109/L lasting for≥7 days despite G-CSF administration,4,NA,NA,NA
33602316,NCT01839097,60,Treatment toxicity requiring dose reduction in Cycle 2.,4,NA,NA,NA
33602316,NCT01839097,60,Nonhematological toxicity requiring a delay in Cycle 2 for>7 days,4,NA,NA,NA
33602316,NCT01839097,60,NA,4,NA,NA,NA
29055839,NA,61,NA,4,NA,NA,Not defined in the paper
29055839,NA,61,NA,4,NA,NA,NA
33474828,NCT02677116,62,"grade ≥3 non-hematologic toxicity (exceptions were made for the following grade 3 AEs: uncomplicated febrile neutropenia; nausea; vomiting; diarrhea; transient electrolyte abnormalities; constipation that could be controlled within 48 hours; transient elevations of alanine aminotransferase [ALT] and/or aspartate aminotransferase [AST] lasting fewer than 8 days, without evidence of other hepatic injury)",>=3,NA,NA,NA
33474828,NCT02677116,62,grade 4 neutropenia lasting longer than 2 weeks,4,NA,NA,NA
33474828,NCT02677116,62,grade ≥3 thrombocytopenia complicated by hemorrhage,>=3,NA,NA,NA
33474828,NCT02677116,62,any hematologic toxicity causing a cycle delay of >14 days,NA,NA,NA,NA
33474828,NCT02677116,62,any other significant toxicity deemed by the primary investigator and sponsor to be dose limiting,NA,NA,NA,NA
32055930,NCT01145430,63,Any CTCAE grade 3 or 4 non-hematologic toxicity (see exceptions below),>=3,NA,NA,"Exceptions: The following grade 3 or 4 non-hematologic toxicities will not be classified as a 
DLT: 
• Electrolyte abnormalities that could be corrected within 24 hours
• Nausea and vomiting that responds to symptomatic therapy 
• Afebrile neutropenia, defined as grade 3 - 4 neutropenia without fever (however, a 
temperature > 38.5 ºC and/or infection requiring antibiotic or antifungal treatment OR 
any grade 4 neutropenia lasting 5 days or more WILL BE considered a DLT);
• Nausea, vomiting, or diarrhea that is not optimally treated
• Fatigue 
• Lymphopenia"
32055930,NCT01145430,63,Any grade > 2 mucocutaneous toxicity (such as those commonly encountered during treatment with PLD) that persists for over 10 days without resolution to at least a grade 1 level;,>2,NA,NA,NA
32055930,NCT01145430,63,Any grade 4 hematologic toxicity (see exceptions below),4,NA,NA,NA
32055930,NCT01145430,63,platelet count < 25000/muL of any duration,4,NA,NA,NA
32055930,NCT01145430,63,"Failure of ANC to recover to >1000/muL or platelets to recover to >100,000/muL after 28days from last PLD treatment",4,NA,NA,NA
32055930,NCT01145430,63,"Regardless of grade or nature of toxicity, inability to complete at least ten consecutive days of oral veliparib dosing or need for veliparib dose reduction in cycle 1.",4,NA,NA,NA
32055930,NCT01145430,63,NA,4,NA,NA,NA
27255289,NA,64,"nonhematological toxicity (excluding nausea/vomiting,diarrhea)",>=3,NA,NA,NA
27255289,NA,64,nausea/vomiting uncontrolled by aggressive antiemetic support,>=3,NA,NA,NA
27255289,NA,64,diarrhea lastingmore than 24 h despite antidiarrheal treatment,>=3,NA,NA,NA
27255289,NA,64,febrileneutropenia (absolute neutrophil count \1.0 9 109/L witha single temperature of [38.3 C or a sustained temperature of [38 C for more than 1 h),NA,NA,NA,NA
27255289,NA,64,neutropenialasting >=5 days,4,NA,NA,NA
27255289,NA,64,"thrombocytopenia associated withdose interruption or hemorrhage,",4,NA,NA,NA
27255289,NA,64,any drug-related toxicitythat resulted in a[1 week delay in the initiation of cycle 2,NA,NA,NA,NA
27255289,NA,64,any drug-related toxicity that resulted in the administrationof \80 % of the total planned S-1 dose.,NA,NA,NA,NA
29174203,NA,65,NA,4,NA,NA,NA
27577069,NCT01176799,66,NA,4,NA,NA,NA
31772119,NCT01902225,67,hematologic toxicity,>=4,NA,TRUE,NA
31772119,NCT01902225,67,"grade 3 thrombocytopenia lasting more than7 days, requiring dose modifications in cycle 1 or associated withbleeding",3,NA,NA,NA
31772119,NCT01902225,67,"any other grade 3 or greater nonhematologic toxicity withthe exception of grade 3 nausea, vomiting, anorexia, or diarrheaadequately managed with supportive care",>=3,NA,TRUE,NA
31772119,NCT01902225,67,grade 3 or greater left ventricular systolic dysfunction or QTcprolongation,>=3,NA,NA,NA
31772119,NCT01902225,67,NA,NA,NA,NA,NA
29104762,NCT01655693,68,NA,4,NA,NA,Not defined in the paper
29104762,NCT01655693,68,NA,4,NA,NA,NA
32601796,NA,69,"grade ≥ 3 non hematological toxicity for more than 10 days (except forGrade 3 fatigue, Grade 3 nausea, and Grade 3 infusion reaction)",>=3,more than 10 days,TRUE,NA
32601796,NA,69,grade ≥ 3 hematological toxicity lasting more than10 days or leading to a treatment delay of more than 2 weeks(as defined in retreatment requirements),>=3,"more than
10 days or leading to a treatment delay of more than 2 weeks",NA,NA
32601796,NA,69,NA,4,NA,NA,NA
33095287,NCT01606878,75,neutropenia or thrombocytopenia that precluded the initiation of the next cycle of therapy within 7 days of the scheduled start date,NA,NA,NA,NA
33095287,NCT01606878,75,as any grade 3 or 4 non-hematologic toxicity attributed to the investigational agent with the exception of grade 3 nausea and vomiting of < 3 days duration,>=3,NA,NA,NA
33095287,NCT01606878,75,"grade 3 liver enzyme elevation that resolved to levels that met initial eligibility criteria within 7 days of study drug interruption,",3,NA,NA,NA
33095287,NCT01606878,75,grade 3 or 4 fever < 5 days duration,>=3,NA,NA,NA
33095287,NCT01606878,75,grade 3 infection < 5 days duration,3,NA,NA,NA
33095287,NCT01606878,75,"grade 3 hypophosphatemia, hypokalemia, hypocalcemia, or hypomagnesemia responsive to oral supplementation",3,NA,NA,NA
33095287,NCT01606878,75,QTc prolongation > 500 ms that persisted despite correction of serum electrolytes or any grade 2 non-hematologic toxicity that persisted for ≥ 7 days and was considered sufficiently medically significant or intolerable by patients that it required treatment interruption,NA,NA,NA,NA
33095287,NCT01606878,75,NA,NA,NA,NA,NA
33095287,NCT01606878,75,any grade 3 or 4 non-hematologic toxicity attributed to the investigational agent with the exception of grade 3 nausea and vomiting of < 3 days duration,>=3,NA,NA,NA
33095287,NCT01606878,75,grade 3 liver enzyme elevation that resolved to levels that met initial eligibility criteria within 7 days of study drug interruption,3,NA,NA,NA
33095287,NCT01606878,75,QTc prolongation > 500 ms that persisted despite correction of serum electrolytes or any grade 2 non-hematologic toxicity that persisted for ≥ 7 days and was considered sufficiently medically significant or intolerable by patients that it required treatment interruption was considered dose limiting,NA,NA,NA,NA
28718812,NCT02562378,79,Grade 4 neutropenia (i.e. absolute neutrophil count (ANC) < 0.5 x 109cells/L for minimal duration of 7 days).,4,NA,NA,NA
28718812,NCT02562378,79,Grades 3 and 4 febrile neutropenia (i.e. ANC < 1.0 x 109 cells/L with a single temperature of >38.3°C or a sustained temperature of ≥ 38°C for more than one hour).,>=3,NA,NA,NA
28718812,NCT02562378,79,Uncomplicated Grade 4 thrombocytopenia (< 25.0 x 109 cells/L) which does not recover to ≥ 75.0 x 109 cells/L before next planned dose administration.,NA,NA,NA,NA
28718812,NCT02562378,79,"Thrombocytopenia (any grade) complicated with clinically significant bleeding requiring medical intervention, such as platelet transfusion or cauterization",NA,NA,NA,NA
28718812,NCT02562378,79,Sudden death (defined as within 24 hours; unexplained),NA,NA,NA,NA
28718812,NCT02562378,79,Heart failure NYHA criteria class III-IV and LVEF decline defined as an absolute drop ≥10% resulting in a final LVEF <50%,NA,NA,NA,NA
28718812,NCT02562378,79,Increase in AST (SGOT)/ALT (SGPT) values to >5x ULN,NA,NA,NA,NA
28718812,NCT02562378,79,Increase in total bilirubin value to > 3xULN,NA,NA,NA,NA
28718812,NCT02562378,79,Abnormalities meeting the Hy’s Law,NA,NA,NA,NA
28718812,NCT02562378,79,Grade ≥ 3 non-hematological toxicities c.,>=3,NA,NA,NA
28718812,NCT02562378,79,Any treatment-related non-hematological toxicity grade ≥ 3 preventing the start of the 3rd cycle on Day 42 (6 weeks cycle length),>=3,NA,NA,NA
28718812,NCT02562378,79,- Grade 2 non-hematological toxicity requiring interruption of treatment for > 21 days,2,NA,NA,NA
28718812,NCT02562378,79,"Patient not able to receive 100% of the dose level going into Cycle 3, Day 1",NA,NA,NA,NA
29903707,NCT01622439,80,NA,4,NA,NA,NA
29903707,NCT01622439,80,NA,4,NA,NA,Not find in the paper
30850381,NCT02055820,81,any grade >=3 AEs attributed to venetoclax plus R-CHOP or G-CHOP,>=3,NA,NA,NA
30850381,NCT02055820,81,"grade 3/4 neutropenia or thrombocytopenia, identified on day 1 of cycle 2 or 3, resulting in delay of that cycle.",>=3,NA,NA,NA
16870542,NA,83,non hematological toxicity,>=3,NA,FALSE,NA
16870542,NA,83,NA,4,NA,NA,NA
16179099,NA,84,nonhematologic toxicity,>=3,NA,FALSE,NA
16179099,NA,84,NA,4,NA,NA,NA
12655441,NA,85,neutropenia,4,more than 7 days,NA,NA
12655441,NA,85,febrile neutropenia,NA,NA,NA,NA
12655441,NA,85,thrombocytopenia,4,NA,NA,NA
12655441,NA,85,nonhematologic toxicity,3,NA,FALSE,NA
12649112,NA,86,"haematological toxicity consisting of nadir neutrophils <0.5 × 109/l for at least 7 days or <0.1 × 109/l for at least 3 days, thrombocytopenia <25 × 109/l or thrombocytopenia with bleeding or requiring platelet transfusion;",4,NA,NA,NA
12649112,NA,86,febrile neutropenia defined as absolute neutrophil count <0.5 × 109/l and fever (three measured temperatures >38°C in 24 h or one >38.5°C),4,NA,NA,NA
12649112,NA,86,any grade 3/4 major organ toxicity except alopecia or unpremedicated nausea/vomiting,>=3,NA,NA,NA
12649112,NA,86,NA,4,NA,NA,NA
15809877,NA,87,"an absolute granulocyte count of <0.5·109 l1 for 7 days or more,",NA,NA,NA,NA
15809877,NA,87,"febrile neutropenia,",NA,NA,NA,NA
15809877,NA,87,"platelets <10·109 l1, thrombocytopenic bleeding requiring transfusion,",NA,NA,NA,NA
15809877,NA,87,any grade 3 or worse nonhaematologic toxicity excluding nausea and vomiting as defined,>=3,NA,FALSE,NA
15809877,NA,87,NA,4,NA,NA,NA
16211365,NA,88,Haematological toxicity consisting of nadir absolute neutrophil count < 0.5 × 109/L (Grade IV) for at least 7 days or < 0.1 × 109/L for at least 3 days,NA,NA,NA,NA
16211365,NA,88,febrile neutropenia defined as absolute neutrophil count < 0.5 × 109/L and fever (three measured temperatures >38◦C in 24 hours or 1 > 38.5◦C),4,NA,NA,NA
16211365,NA,88,thrombocytopenia < 25 × 109/L (Grade IV) or thrombocytopenia with bleeding or requiring platelet transfusion,4,NA,NA,NA
16211365,NA,88,grade III/IV major organ toxicity except alopecia or un-premedicated nausea/vomiting.,>=3,NA,NA,NA
16211365,NA,88,NA,4,NA,NA,NA
16937306,NA,89,leukocyte count less than 1000/μl,NA,NA,NA,NA
16937306,NA,89,neutrophil count less than 500/μl,NA,NA,NA,NA
16937306,NA,89,febrile neutropenia (<1000/μl),NA,NA,NA,NA
16937306,NA,89,platelet count less than 10 000/μl,NA,NA,NA,NA
16937306,NA,89,thrombopenia requiring platelet transfusion,NA,NA,NA,NA
16937306,NA,89,nonhematological toxicity of grade 3 or more (except for nausea and vomiting),>=3,NA,NA,NA
16937306,NA,89,any toxicity that required treatment interruption lasting more than 2 weeks,NA,NA,NA,NA
16937306,NA,89,NA,NA,NA,NA,NA
14984944,NA,90,"non-hematologic toxicity (dermatitis, diarrhea, nausea, etc.)",>=3,NA,NA,NA
14984944,NA,90,hematologic toxicity,4,NA,NA,NA
14984944,NA,90,any toxicity which requires 1 week or greater delay of radiotherapy or an omission of more than one dose of chemotherapy.,NA,NA,NA,NA
14984944,NA,90,NA,NA,NA,NA,NA
15122074,NA,91,any Grade 3 or worse toxicity,>=3,NA,NA,NA
31959492,NA,1,failure to recover blood counts,1,Dose delay of >3 weeks ,NA,NA
31959492,NA,1,febrile neutropenia,1,NA,NA,NA
31959492,NA,1,neutropenia,4,> 7 Days,NA,NA
31959492,NA,1,thrombocytopenia ,4,NA,NA,NA
31959492,NA,1,Bleeding associated with grade 3 thrombocytopenia,4,NA,NA,NA
31959492,NA,1,Study treatment-related non-hematologic toxicity,3 or 4,NA,FALSE,NA
31959492,NA,1,Death,5,NA,NA,NA
31959492,NA,1,NA,4,NA,NA,NA
7664282,NA,2,hypotension,4,NA,NA,dose-limiting hypotension as a >25% decrease in systolic or diastolic pressure that did not improve with adminis tration of an i.v. fluid bolus or did not resolve (<25% decrease in systolic or diastolic pressure from baseline) by the time of melphalan administration.
7664282,NA,3,mvelosuppression,4,>7 days,NA,"an absolute granulocyte count <15000 cells/mm3 or a platelet count of <100,000/mm3 28 days"
29500276,NCT01696032,4,thrombocytopenia or neutropenia,4,> 7 days,NA,NA
29500276,NCT01696032,4,febrile neutropenia,3 or 4,NA,NA,NA
29500276,NCT01696032,4,non-hematologic toxicity,>=3,NA,NA,NA
29500276,NCT01696032,4,"failure to recover absolute neutrophil count (ANC) to 1,000 cells/mm3 and/or platelets to > 75,000 cells/mm3 by Cycle 1, Day 42",1,NA,NA,NA
29500276,NCT01696032,4,Any other clinically significant AE placing patients at undue safety risk or resulting in discontinuation of treatment.,4,NA,NA,NA
29348128,NCT01814826,5, toxicity related to study drug,>=3,NA,FALSE,NA
28881739,NCT00748553,6,nonhematologic toxicities,>=3,NA,FALSE,NA
28881739,NCT00748553,6,thrombocytopenia,3,more than 7 days,NA,NA
28881739,NCT00748553,6,hematologic toxicity,4,NA,FALSE,NA
28881728,ACTRN12610001031055,7,non-hematologic toxicity ,3 or 4,NA,NA,NA
28881728,ACTRN12610001031055,7,neutropenia,4,NA,NA,NA
28881728,ACTRN12610001031055,7,thrombocytopenia,4,NA,NA,NA
28555084,NCT01729845,8,non-hematologic toxicity,3,asting >48 hours that resulted in a > 7-day delay of the subsequent treatment cycle,FALSE,NA
28555084,NCT01729845,8,non-hematologic toxicity,4,recovery to grade ≤2 within 14 days,NA,NA
27542211,NCT01193517,10,non-hematological toxicity,>=3,NA,FALSE,NA
27542211,NCT01193517,10,anemia,4,NA,NA,NA
27542211,NCT01193517,10, thrombocytopenia,4,NA,NA,NA
27542211,NCT01193517,10,neutropenia,4,> 5 days,NA,NA
27542211,NCT01193517,10,febrile neutropenia,>=3,NA,NA,NA
27542211,NCT01193517,10,a treatment delay,4,> 14 days,NA,NA
26055299,NCT00986804,11,"ANC <500/µL and/or platelet count <30,000/µL",4,two consecutive weeks,NA,NA
26055299,NCT00986804,11,"inability to achieve ANC ≥1000/µL and platelet count ≥50,000/µl after a delay of the second cycle",4,2 weeks,NA,NA
26055299,NCT00986804,11,non-hematological toxicities,3 or 4,NA,NA,NA
25806091,NCT01039155,12,nausea/vomiting and diarrhea,>=3,> 3 days,NA,NA
25806091,NCT01039155,12, any toxicity ,>=3,NA,FALSE,NA
25062770,NCT00925132,14,hematologic toxicity,4,NA,NA,NA
25062770,NCT00925132,14,nonhematologic toxicity,>=3,NA,FALSE,NA
25062770,NCT00925132,14,nonhematologic toxicity requiring a dose reduction or treatment interruption for more than 7 days,2,NA,NA,NA
25062770,NCT00925132,14,hematologic toxicity requiring a dose reduction or treatment interruption for more than 7 days,3,NA,NA,NA
24493831,NA,16,hematologic toxicity,>=3,NA,NA,NA
24493831,NA,16,nonhepatic major organ toxicity,>=3,NA,NA,NA
24493831,NA,16,hepatic toxicity,>=3,NA,NA,NA
24649202,NA,17,hematological toxicity,4,NA,NA,NA
24649202,NA,17,neutropenia,3,NA,NA,with fever
24649202,NA,17,thrombocytopenia,>=3,NA,NA,NA
24649202,NA,17,non‑hematological toxicity,>=3,NA,NA,NA
24649202,NA,17,any single interruption of radiation therapy,NA,>= 7days,NA,NA
24649202,NA,17,>2 interruptions per radiation course,NA,NA,NA,NA
24649202,NA,17,any delay in the completion of radiation therapy,NA,> 14 days,NA,NA
24649202,NA,17,any treatment‑related hospitalization or death,NA,NA,NA,NA
24770667,NCT00633529,18,neutropenia,4,NA,NA,NA
24770667,NCT00633529,18,anemia,4,NA,NA,NA
24770667,NCT00633529,18,thrombocytopenia,4,lasting 5 or more days,NA,NA
24770667,NCT00633529,18,nausea,>=3,NA,NA,NA
24770667,NCT00633529,18,diarrhea,>=3,NA,NA,NA
24770667,NCT00633529,18,vomiting,>=3,NA,NA,NA
24770667,NCT00633529,18,non-hematologic toxicity,>=3,NA,NA,NA
24770667,NCT00633529,18,treatment delay,>=2,>= 14 days,NA,NA
24535315,NA,19,neutropenia,4,lasting >7 days,NA,NA
24535315,NA,19,febrile neutropenia,NA,NA,NA,NA
24535315,NA,19,neutropenic infection,NA,NA,NA,NA
24535315,NA,19,thrombocytopenia,4,NA,NA,NA
24535315,NA,19,ALT or AST increase,>=3,lasting >7 days,NA,NA
24535315,NA,19,treatment-related nonhematological toxicity,>=3,NA,FALSE,NA
24535315,NA,19,dosing delay,4,> 2weeks,NA,NA
24535315,NA,19,troponin I increase ≥0.1 ng/ml,NA,NA,NA,NA
24535315,NA,19,LVEF decrease >20 %,NA,NA,NA,NA
24535315,NA,20,neutropenia,4,lasting >7 days,NA,NA
24535315,NA,20,febrile neutropenia,NA,NA,NA,NA
24535315,NA,20,neutropenic infection,NA,NA,NA,NA
24535315,NA,20,thrombocytopenia,4,NA,NA,NA
24535315,NA,20,ALT or AST increase,>=3,lasting >7 days,NA,NA
