PMID,NCTID,Trial_Type,protocol,population,Trial_Inclusion,Trial_Exclusion,DLT_EVA,comments
32335709,NA,Combination,No,in Japanese patientswith relapsed or refractory multiple myeloma:,"The inclusion criteria were as follows: age ≥20 years; Eastern Cooperative Oncology Group Performance Status of 0‐2; symptomaticMM with measurable disease (serum M‐protein level ≥0.5 g/dL orurine M‐protein level ≥200 mg/24 hours); at least 2 previous treatments for MM, including bortezomib and immunomodulatory agents(both refractory and non‐refractory patients could be enrolled);response to at least 1 previous MM treatment (≥25% reduction inM‐protein); and adequate hematologic, hepatic and renal function atscreening, evidenced by absolute white blood cell count of ≥2000/mm3, neutrophil count of ≥1000/mm3, platelet count of ≥50 000/mm3, hemoglobin of ≥8.0 g/dL, aspartate aminotransferase andalanine aminotransferase of less than 3 times the upper limits of thenormal values, serum bilirubin of less than 2 times the upper limit ofthe normal value, estimated creatinine clearance value by the Cockcroft–Gault formula of ≥30 mL/min, and serum creatinine of≤2.0 mg/dL","The major exclusion criteria were as follows: patients previouslytreated with carfilzomib, those with grade 3‐4 neuropathy or grade≥2 neuropathy accompanied by neuropathic pain; a history of interstitial lung disease, New York Heart Association class III or IV congestive heart failure, symptomatic myocardial ischemia oruncontrolled conduction abnormalities; serious amyloidosis or suspicion of serious amyloidosis such as cardiac or intestinal amyloidosis;or poorly controlled hypertension or diabetes",cycle 1,NA
28054329,NA,Single Drug,No,in patients with advanced or recurrentsolid tumors,"The major inclusion criteria were: (i) histologically or cytologically confirmed advanced or recurrent malignant solid tumors refractory to standard therapy or with no viable treatmentoptions, (ii) age 20 to 75 years, (iii) life expectancy of 12 ormore weeks from the first administration of study medication,(iv) adequate organ function, and (v) Eastern CooperativeOncology Group (ECOG) performance status of 0 or 1 atbaseline.",Major exclusion criteria were: (i) past or currenthistory of anthracycline use and (ii) clinically significant echocardiogram abnormalities or clinically significant heartdisease,NA,NA
32122924,NCT02889523,Combination,No,Patients with Newly Diagnosed Diffuse LargeB-Cell Lymphoma (DLBCL) with Poor Prognosis Features,"Eligible patients were aged between 60 and 80 years and had beendiagnosed with an untreated high-risk DLBCL (aaIPI 2-3). Othereligible criteria wereas follows: ECOG performance status of 0–1,adequate renal function (creatinine clearance > 40 mL/min), bonemarrow function (ANC ≥ 1,500/mm3, platelets ≥ 75,000/mm3, hemoglobin ≥ 9 g/dL), liver function, left ventricular ejection fraction > 50%","Patients were excluded if they presented a central nervous system ormeningeal involvement, had received prior treatment with anyEZH2 inhibitor, any previous lymphoma treatment, or had anyconditions that might compromise their safety or the study accordingto the investigator. A full list of inclusion/exclusion criteria is providedin the Supplementary Appendix.",the first twocycles (DLT period).Toxicities assigned as DLT were assessed during C1 and C2 (42 days). ,NA
32381487, NCT03168061,Single Drug,No,"in Patients with AdvancedSolid Tumors or Advanced, Metastatic, orUnresectable Soft-tissue Sarcoma","Adult subjects (age ≥ 18 years) that met the following criteria wererecruited: a histologically or cytologically confirmed diagnosis ofadvanced solid tumor, including soft-tissue sarcoma, that had relapsedor was refractory to standard therapy; Eastern Cooperative OncologyGroup (ECOG) performance status, defined as 0 or 1; adequate bonemarrow reserve (absolute neutrophil count ≥1.5  109/L; plateletcount ≥100  109/L; and hemoglobin level ≥10 g/dL), cardiac function[left ventricular ejection fraction (LVEF) ≥50%; QTcF ≤470 ms; nohistory of uncontrolled cardiac dysrhythmia, hepatic dysfunction, orrenal dysfunction]","Subjects who had been treated previously with an anthracyclinewere eligible if cumulative exposure had not exceeded acceptablelimits, defined as ≤375 mg/m2 doxorubicin or liposomal doxorubicin,or ≤675 mg/m2 epirubicin. Subjects who had palliative surgery and/orradiation treatment within 30 days prior to screening, or had activecentral nervous system or brain metastasis at the time of screeningwere excluded.",during the first treatment cycle,NA
31675535,NCT00856037,Combination,No,patients withrelapsed or refractory small cell lung cancer (SCLC):,"Eligible patients were older than 19 years of age; had pathologicallyproven diagnosis of SCLC; at least one prior chemotherapy regimen forSCLC; primary refractory or relapsed disease; Eastern CooperativeOncology Group (ECOG) performance status ≤ 2; measurable or nonmeasurable disease by Response Evaluation Criteria in Solid Tumors(RECIST) version 1.1; and adequate hematologic, hepatic, and renalfunction","Exclusion criteria included known hypersensitivity to any component of topotecan or doxorubicin; ejection fraction <50%; pregnant orbreast-feeding women; uncontrolled intercurrent illnesses including,but not limited to unstable angina or uncontrolled cardiac arrhythmia,chronic liver disease, complete left bundle branch block, obligate use ofa cardiac pacemaker, ST depression of >1 mm in two or more leadsand/or T wave inversions in two or more contiguous leads, congenitallong QT syndrome, history of or presence of significant ventricular oratrial tachyarrhythmias, clinically significant resting bradycardia (<50beats per minute), and QTc >480 milliseconds on a screening electrocardiogram",during the first 2 cycles,NA
26903311,NCT00878904,Combination,No,in solidtumors with a dose expansion in patients with sarcoma,"Eligible patients had metastatic solid tumor malignancies and any numberof prior therapies with adequate organ function and normal cardiac output[left ventricular ejection fraction (LVEF) >55%]. Prior anthracycline exposure was limited to 300 mg/m2 of doxorubicin and 480 mg/m2 of epirubicin(refer to supplementary Data, available at Annals of Oncology online forfurther criteria)",NA,Toxicities were assessed by CTCAE 4.0 criteria weekly in cycle 1,NA
33219014,NCT02779855,Combination,No,Nonmetastatic Triple-Negative BreastCancer,"To be eligible for the study, patients had to be female, 18 to 70 yearsof age, diagnosed with their first case of clinical stage T2-3N0-2M0triple-negative invasive breast cancer as defined by College of American Pathologists criteria, and eligible for neoadjuvant chemotherapy.Patients must also have had an Eastern Cooperative Group performance status of 0–1, adequate organ function/hematologiccounts, and an echocardiogram within institutional normal limits","Patients were excluded if they presented with inflammatory, bilateral, or multicentric breast cancers, active herpes simplex virusinfections, immunodeficiency, autoimmune disease, or were takinganticoagulation medicine",during the first 5 weeks of study treatment ,NA
29856514,NA,Combination,No,relapsedrefractory acute lymphoblastic leukemia,"Patients of age 1–30 years at the time of initial diagnosis withrefractory or recurrent ALL or lymphoblastic lymphoma were eligible. Patients must have had a Karnofsky / Lansky score above 50 andless than 350 mg/m2 lifetime exposure of anthracycline chemotherapy.A 6-month interval must have elapsed since the last treatment withan induction/reinduction type regimen containing an anthracycline,steroid, asparaginase and vincristine. Patients must have had adequateorgan function defined by serum creatinine ≤1.5 × upper limit of normal (ULN) for age, total bilirubin ≤ 1.5 × ULN for age, ALT ≤ 5 × ULNfor age, unless the elevation is disease-related, adequate cardiac function as defined as shortening fraction of ≥ 27% by echocardiogram orejection fraction ≥ 45% by gated radionuclide study","Patients were excluded if they planned on receiving other investigational agents while on this study, had contraindications to receiving intended therapies (e.g., anaphylaxis or pancreatitis with asparaginase), had an active infection defined as positive blood culture within48 hr of study registration, or required supplemental oxygen or vasopressors within 48 hr of study entry. Use of corticosteroids was notpermitted aside from dexamethasone treatment as part of the studytreatment regimen. Patients also may have been on hydroxyurea untilthe first dose of metformin. Patients must have recovered from the acute side effects of all prior anticancer therapy as defined by at least1 week from prior cytotoxic chemotherapy, 4 weeks from craniospinalirradiation, and at least 4 months since hematopoetic stem cell transplantation without evidence of active graft versus host disease. Pregnant or lactating women were also excluded. ",during the first course of therapy,NA
27403082,NCT00878800,Combination,No,Patients with Soft Tissue Sarcomas,"Eligibility criteria were as follows:patients 18 years or older and giving informed consent;performance status (ECOG) ≤2; life expectancy of at least3 months; acceptable liver, renal, coagulation, and bonemarrow function; serum potassium within normal range; andacceptable coagulation status. Eligibility criteria for doseescalation phase I part: patients with histological or cytological confirmed solid tumours (including sarcomas), with noknown curative therapy. Eligibility criteria for MTD expansion phase II part: patients with an established diagnosis ofSTS in need of first-line chemotherapy and with measurabledisease",Main exclusion criteria wereinvestigational treatment within 4 weeks prior to studytreatment; prior anticancer therapy within the last 3 weeks;coexisting significant medical condition or active infection;concurrent second malignancy; history of hypersensitivityto doxorubicin; pregnancy. Main exclusion criteria for doseescalation phase I part: more than two prior doses ofanthracycline or more than three prior lines of chemotherapygiven for metastatic disease. Main exclusion criteria for MTDexpansion phase II part: prior chemotherapy and LVEF belownormal range (45% by MUGA),during the first cycle of treatment,NA
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902 ,Combination,Yes,Diffuse Large B-cell Lymphoma (DLBCL),"Inclusion criteriaParticipants should fulfil the following criteria:Histologically confirmed DLBCL, expressing CD20; sufficient tumour block should be available to forward to a central laboratory for gene expression profiling and pathology review; at a minimum, participants should have sufficient tumour material to test for: H/E morphological check of compatibility of DLBCL diagnosis, immunophenotyping and RNA for gene expression profilingMeasurable disease of at least 15mmNot previously treated for lymphoma and fit enough to receive combination chemoimmunotherapy with curative intentStage IAX (bulk defined as lymph node diameter >10cm) to stage IV disease and deemed to require a full course of chemotherapy. Patients with non-bulky IE disease will not be eligibleECOG performance status 0–2 or 3 if this is directly attributable to lymphomaAdequate bone marrow function with platelets > 100×109/L; neutrophils > 1.0×109/L at study entry, unless lower figures are attributable to lymphomaMeasured or calculated creatinine clearance > 30mls/min, (calculated using the formula of Cockcroft and Gault [(140-Age) × Mass (kg) × (1.04 (for women) or 1.23 (for men))/Serum Creatinine (µmolL)]Serum bilirubin < 35μmol/L and transaminases < 2.5× upper limit of normal at time of study entryCardiac function sufficient to tolerate 300mg/m2 of doxorubicin. A pre-treatment echocardiogram or MUGA is required to establish baseline LVEF equal to or greater than institutional normal range.No concurrent uncontrolled medical conditionLife expectancy > 3 monthsAged 16 years and aboveWilling and able to participate in all required evaluations and procedures in this study protocol including swallowing capsules without difficultyAbility to understand the purpose and risks of the study and provide signed and dated informed consent","Exclusion criteriaPatients will be excluded from the study entry if any of the following criteria are met:Previous history of treated or untreated indolent lymphoma; however newly diagnosed patients with DLBCL who are found to also have small cell infiltration of the bone marrow or other diagnostic material (discordant lymphoma) will be eligiblePatients who have received immunisation with a live vaccine within four weeks prior to enrolment will be ineligibleDiagnosis of primary mediastinal lymphomaDiagnosis of primary Central Nervous System lymphomaHistory of stroke or intracranial haemorrhage in preceding 6 monthsHistory of bleeding diathesis (e.g., haemophilia, von Willebrand disease)Requires or receiving anticoagulation with warfarin or equivalent antagonists (e.g. phenprocoumon) within 7 days of first dose of acalabrutinib; however, patients using therapeutic low molecule weight heparin or low dose aspirin will be eligiblePrior exposure to a BCR inhibitor (e.g. Btk inhibitors, phosphoinositide-3 kinase (PI3K), or Syk inhibitors) or BCL-2 inhibitor (e.g. ABT-199)Requires treatment with a strong cytochrome P450 3A4 (CYP3A4) inhibitor/inducer.Requires treatment with proton pump inhibitors (e.g. omeprazole, esomeprazole, lansoprazole, dexlansoprazole, rabeprazole, or pantoprazole)○ Patients receiving proton pump inhibitors should switch to short-acting H2-receptor antagonists or antacids prior to study entry to be eligible for enrolment into this studyUncontrolled systemic infection.Major surgery in the preceding 4 weeks of first dose of study drug. If a subject had major surgery, they must have recovered adequately from any toxicity and/or complications from the intervention before the first dose of study drugSignificant cardiovascular disease such as uncontrolled or symptomatic arrhythmias, congestive heart failure, or myocardial infarction within 6 months of screening, or any Class 3 or 4 cardiac disease as defined by the New York Heart Association Functional Classification, or corrected QT interval (QTc) > 480 msec at screening. QTc interval should be calculated using Fridericia’s formulaSerological positivity for Hepatitis B (HBV), C (HCV), or known HIV infection. As per standard of care, prior to initiation of immunochemotherapy, the results of hepatitis serology should be known prior to commencement of therapy.- Positive test results for chronic HBV infection (defined as positive HBsAg serology) will not be eligible. Patients with occult or prior HBV infection (defined as negative HBsAg and positive total HBcAb) will not be eligible. Patients who have protective titres of hepatitis B surface antibody (HBsAb) after vaccination will be eligible- Positive test results for HCV (HCV antibody serology testing) will not be eligibleWomen who can bear children must agree to use two highly effective forms of contraception or abstinence during the study and for 12 months after the last treatment dose (contraception is discussed under ‘5. Relevant concomitant care permitted or prohibited during the trial’)Breastfeeding or pregnant womenMen who can father children must agree to use two highly effective forms of contraception with additional barrier or abstinence during the study and for 12 months after the last treatment dose (contraception is discussed under ‘Relevant concomitant care permitted or prohibited during the trial’)Men must agree to refrain from sperm donation during the study and for 12 months after the last treatment doseSerious medical or psychiatric illness likely to affect participation or that may compromise the ability to give informed consentPrior malignancy (other than DLBCL), except for adequately treated basal cell or squamous cell skin cancer, in situ cervical cancer, or other cancer from which the subject has been disease free for ≥ 2 years or which will not limit survival to < 2 years. Note: these cases must be discussed with Southampton Clinical Trials Unit (SCTU)Malabsorption syndrome, disease significantly affecting gastrointestinal function, resection of the stomach or small bowel, gastric bypass, symptomatic inflammatory bowel disease, or partial or complete bowel obstruction or gastric restrictions and bariatric surgery, such as gastric bypassAny immunotherapy within 4 weeks of 1st dose of the studyConcurrent participation in another therapeutic clinical trial",The DLT reporting period is from the start of treatment until the end of cycle 3. Events meeting the below criteria following the end of cycle 3 will not be recorded as DLTs.,NA
33602316,NCT01839097,Combination,No,"patients with newly diagnosed peripheral T-cell lymphoma.in patients with newly diagnosed PTCL, who were candidates for frst-line chemotherapy with CHOP","Eligible patients were≥18  years of age with histologically confrmed PTCL or transformed CTCL, an Eastern Cooperative Oncology Group (ECOG) performance status of≤2, and a life expectancy of≥3  months. Patients must have had measurable disease based on Cheson criteria  and been eligible for frst-line CHOP therapy. Patients must have had adequate hematologic, hepatic, and renal function, including absolute neutrophil count (ANC)≥1.5×109, platelets≥100,000/mm3, alanine and aspartate aminotransferases (AST and ALT)≤3×the upper limit of normal (ULN), total bilirubin≤2.0  mg/dL, calculated creatinine clearance≥50  mL/min , and prothrombin time or international normalized ratio<1.5×ULN (or in the therapeutic range of anticoagulation therapy). ","Prohibited prior therapy included HDAC inhibitors (except for CTCL), extensive radiotherapy, severely myelotoxic regimens, and stem celltransplantation. Patients with≥Grade 3 neuropathy, cardiovascular disease (including prolonged QT), and active infections requiring therapy were also excluded.",during Cycle 1 to inform dose-escalation/reduction decisions,NA
