PMID,NCTID,CombnID,Drug_Name,MTD_Value,MTD_Unit,Frequency,Schedule,Comments
31932108,NCT02055690,28,fosbretabulin,54,mg/m2,1,"days 1, 8, 15, every 28 days;",Whenpazopanib and fosbretabulin were administered together pazopanib was administered ≥1 h prior to fosbretabulin.
31924737,NCT01916447,29,irinotecan,180,mg/m2,1,on day 1 of every cycle at the same time as FTD/TPI,Bevacizumab was added to this combination at the standard mCRC dose of 5 mg/kg for expansion cohort
31375879,NCT02354131,31,bevacizumab,15,mg/kg,1,on day 1 every 3 weeks,MTD not reach; RPTD
31375879,NCT02354131,31,niraparib,300,mg,1,once daily,MTD not reach; RPTD
30302599,NCT01047293,33,everolimus,7.5,mg,1,daily,RP2D
30302599,NCT01047293,33,everolimus,7.5,mg,1,daily,RP2D
30185228,NCT00960960,35,pictilisib,250,mg,1,daily for 5 of 7 consecutive days [“5+2” schedule],other arms MTD not reached
29695765,NCT01113476,40,gemcitabine,1000,mg/m2,NA,"days 1, 8, 15",fixed dose
29264836,NA,42,bevacizumab,10,mg/kg,1,every other week starting on Day 1,fixed dose
29264836,NA,42,temozolomide,50,mg/m2,1,daily,fixed dose
29264836,NA,42,temozolomide,50,mg/m2,1,daily,fixed dose
29559563,NCT01248949,43,medi3617,1500,mg,1,Q3W,MTD not reached; Recommend dose; excoet in ovarian cancer
29559563,NCT01248949,43,medi3617,1000,mg,1,Q2W,MTD not reached; Recommend dose; excoet in ovarian cancer
28810837,NCT01202032,49,bevacizumab,7.5,mg/kg,0,every 2 weeks,Bevacizumab injections started 2 weeks after pazopanib initiation.
29101518,UMIN000012536,50,pemetrexed,500,mg/m2,1,day 1 every 3 weeks,fixed dose
29101518,UMIN000012536,50,bevacizumab,15,mg/kg,1,day 1 every 3 weeks,fixed dose
29101518,UMIN000012536,50,erlotinib,150,mg,1,once daily,fixed dose
29101518,UMIN000012536,50,erlotinib,150,mg,1,once daily,fixed dose
29101518,UMIN000012536,50,pemetrexed,500,mg/m2,1,day 1 every 3 weeks,fixed dose; Recomend Dose
29101518,UMIN000012536,50,cisplatin,75,mg/m2,1,day 1 every 3 weeks,ecomend Dose
29101518,UMIN000012536,50,cisplatin,75,mg/m2,1,day 1 every 3 weeks,ecomend Dose
29101518,UMIN000012536,50,bevacizumab,15,mg/kg,1,day 1 every 3 weeks,fixed dose; Recomend Dose
29101518,UMIN000012536,50,erlotinib,150,mg,1,once daily,fixed dose; Recomend Dose
29101518,UMIN000012536,50,erlotinib,150,mg,1,once daily,fixed dose; Recomend Dose
28992562,NCT00974584,51,pictilisib,330,mg,1,"14 days on, 7 days off",RP2D with combination of other regimens
28760399,UMIN000012883,55,bevacizumab,5,mg/kg,1,every 2 weeks,infusion for 30 min
28391576,NCT01660360,56,tanibirumab,24,mg/kg,NA,"Days 1, 8, 15, every four weeks",infusion 60 min
27765756,132071,58,nivolumab,10,mg/kg,NA,day 1 every 3 weeks foe up to 4 cycles,The combination of nivolumab 10 mg/kg and chemotherapy was well tolerated
27507617,NCT01183494,64,irinotecan,310,mg/m2,NA,days 1 and 15,over 90 mins infusion
27507617,NCT01183494,65,irinotecan,260,mg/m2,NA,days 1 and 15,over 90 mins infusion
27565810,NA,66,pictilisib,340,mg,1,once daily,RP2D
27457310,NA,68,crlx101,15,mg/m2,NA,every 2 weeks,RP2D
27457310,NA,68,bevacizumab,10,mg/kg,NA,every 2 weeks,fixed dose
26616225,NA,76,pegylated liposomal doxorubicin,30,mg/m2,NA,one time,fixed dose
26616225,NA,76,carboplatin,5,AUC,NA,one time,fixed dose
26616225,NA,76,carboplatin,5,AUC,NA,one time,fixed dose
26272806,NCT00904839,79,oxaliplatin,85,mg/m2,NA,NA,infused over 2h
26272806,NCT00904839,79,oxaliplatin,85,mg/m2,NA,NA,infused over 2h
25080061,UMIN000006937,87,oxaliplatin,50,mg/m2,NA,every week,RD
25080061,UMIN000006937,87,oxaliplatin,50,mg/m2,NA,every week,RD
29764853,NCT01478685,88,cc-486,300,mg,NA,"every day, days 1–7, 9–14, and 22–28/28",RP2D
29764853,NCT01478685,88,carboplatin,4,AUC,NA,Cycle 1: Day 8;Cycle 2+: Day 1,fixed dose
29764853,NCT01478685,88,carboplatin,4,AUC,NA,Cycle 1: Day 8;Cycle 2+: Day 1,fixed dose
29764853,NCT01478685,89,cc-486,200,mg,NA,"every day, days 1–14 and 22–28/28",MTD
29764853,NCT01478685,90,cc-486,300,mg,NA,days 1–14 and 22–28/28,PR2D
25483416,NA,101,azacitidine,75,mg/m2,NA,days 1-5,fixed dose
25483416,NA,101,belinostat,150,mg/m2,NA,days 1-5,RP2D
24413064,ACTRN12610000924055,103,azacitidine,75,mg/m2,NA,days 1-5,fixed dose
23789936,NA,107,rigosertib,560,mg,2,2 out 3 3 weeks,RP2D
21901396,NA,108,erlotinib,150,mg/d,NA,"Daily, 1 h before or  2h after a meal",fixed dose
21901396,NA,108,erlotinib,150,mg/d,NA,"Daily, 1 h before or  2h after a meal",fixed dose
21278245,NA,110,decitabine,10,mg/m2/d,NA,days 1 to 5,Also RP2D
21278245,NA,110,vorinostat,200,mg,3,Days 6 -12,Also RP2D
23172636,NCT00715793,112,temozolomide,75,mg/m2,NA,daily for 4 weeks (weeks 2–5) of a 6week cycle,fixed dose
23172636,NCT00715793,112,temozolomide,75,mg/m2,NA,daily for 4 weeks (weeks 2–5) of a 6week cycle,fixed dose
10830142,NA,117,decytabine,120,mg/m2,NA,"days 1–3, given as a 2-hr infusion",MTD
10830142,NA,117,decytabine,90,mg/m2,NA,"days 1–3, given as a 2-hr infusion",RP2D for good condition patients
10830142,NA,117,decytabine,67,mg/m2,NA,"days 1–3, given as a 2-hr infusion",RP2D for poor condition patients
17679729,NA,120,decitabine,20,mg/m2/d,NA,"days 1 through 10, every 28 days.",optimal biologic dose (OBD)
33963476,"EudraCT 2009-016080-11, Dutch Trial Register NTR2391",122,bevacizumab,10,mg/kg,NA,every 2 weeks,fixed dose
33963476,"EudraCT 2009-016080-11, Dutch Trial Register NTR2391",122,irinotecan,125,mg/m2,NA,every 2 weeks,fixed dose
33963476,"EudraCT 2009-016080-11, Dutch Trial Register NTR2391",122,erlotinib,85,mg,1,NA,"Tablets were taken orally in the morning, at least one hour before or two hours after breakfast."
33963476,"EudraCT 2009-016080-11, Dutch Trial Register NTR2391",122,erlotinib,85,mg,1,NA,"Tablets were taken orally in the morning, at least one hour before or two hours after breakfast."
33616416,NCT01852409,124,bevacizumab,7.5,mg/kg,NA,NA,Recpmmend Dose; MTD not reached
8519675,NA,137,epirubicin,135,mg/m2,NA,day 1,30 min iv
8519675,NA,137,vinorelbine,25,mg/m2,NA,day 1 and 8,10  min iv
7691117,NA,141,vinorelbine,25,mg/m2,NA,Day 1 and 8,fixed dose
7691117,NA,142,vinorelbine,25,mg/m2,NA,Day 1 and 8,fixed dose
7691117,NA,142,g-csf,5,ug/kg,NA,Day 4- 6 and 9-15,fixed dose
7691117,NA,142,g-csf,5,ug/kg,NA,Day 4- 6 and 9-15,fixed dose
8612318,NA,143,ifosfamide,3000,mg/m2,NA,NA,fixed dose
8392903,NA,145,cisplatin,60,mg/m2,NA,day 1,fixed dose
8392903,NA,145,cisplatin,60,mg/m2,NA,day 1,fixed dose
8392903,NA,145,etoposide,120,mg/m2,NA,days 1 -3,fixed dose
7954234,NA,147,verapamil,1,mg/kg/h,NA,Each subsequent dose leveI began at themaximum dose of the previous level and escalated twice at 30minute intervals by 0.1-mg/kg/hour increments;,RP2D
8453681,NA,149,doxorubicin,60,mg/m2,NA,"infusion for 15 mins, every 21 days",fixed dose
29850984,NA,162,trastuzumab emtansine,3.6,mg/kg,NA,on day 1 of each cycle +/− 3 days (1 cycle =   21 day,fixed dose
32147669,NCT02039336,174,dacomitinib,15,mg,NA,once daily continuously, RP2D
32147669,NCT02039336,174,mirdametinib,6,mg,2,"twice daily, on first 21 days of each 28-day cycle", RP2D
29067643,NCT01347866,177,irinotecan,180,mg/m2,NA,days 1 and 15 of each 28-day cycle,fixed dose
20215549,NA,181,mirdametinib,10,mg,2,"BID, 5 d on/2 d off",RP2D
14758140,NA,185,ifosfamide,3000,mg/m2,NA,"day 1, administered at a fixed dose of 3 g/m2 as a 24-hour perfusion concomitantly with mesna (3 g/m2 over 24 hours), followed by an oral dose of 1,000 mg/m2 2 and 6 hours after the end of the ifosfamide perfusion","fixed dose, RD"
14758140,NA,185,gemcitabine,1500,mg/m2,NA,day 1 and 15,RD
14758140,NA,185,cisplatin,100,mg/m2,NA,day 15,RD
14758140,NA,185,cisplatin,100,mg/m2,NA,day 15,RD
12504047,NA,186,cisplatin,20,mg/m2/d,NA,"days 1-15, 29-33",fixed dose
12504047,NA,186,cisplatin,20,mg/m2/d,NA,"days 1-15, 29-33",fixed dose
12504047,NA,186,concurrent radiotherapy,50.4,Gy,NA,5 days on/2 days off per week,1.8 Gy/d
12504047,NA,186,gemcitabine,300,mg/m2,NA,"Days 2,5,26,33",RD
15484216,NA,187,gemcitabine,1800,mg/m2,NA,every 2 weeks,Gemcitabine was infused at a constant rate of 10 mg/m2/min; RP2D
15484216,NA,187,dacarbazine,500,mg/m2,NA,every 2 weeks,RP2D
12702534,NA,188,vinorelbine,30,mg/m2,NA,biweekly,RD
12702534,NA,188,gemcitabine,2500,mg/m2,NA,biweekly,RD
12140144,NA,189,concurrent radiotherapy,50.4(1.8),Gy,NA,NA,"The adopted radiotherapy technique was with angled fields, advanced 2D- and 3D-supported. The target volume was considered the primary tumor and the hilar-mediastinal involved lymph-nodes, plus the surrounding 1.5 cm area considered disease-free."
14533441,NA,192,gemcitabine,1250,mg/m2,NA,30-minute intravenous infusion weekly times 3 out of 4 consecutive weeks constituting one cycle,fixed dose
12003196,NA,194,gemcitabine,1250,mg/m2,NA,days 1 and 8 of 21 cycle,administered over 30 minutes; after vinorelbine
12003196,NA,194,vinorelbine,30,mg/m2,NA,days 1 and 8 of 21 cycle,administered over 10 minutes
12201494,NA,195,cisplatin,50,mg/m2,NA,Day 2 and 9,fixed dose
12201494,NA,195,cisplatin,50,mg/m2,NA,Day 2 and 9,fixed dose
12419757,NA,196,gemcitabine hydrochloride,1000,mg/m2,NA,10 mg/m2/min,iv over 30 mins
11810040,NA,197,gemcitabine,1000,mg/m2,NA,on day 1 and 8 every 3 weeks,fixed dose
11810040,NA,197,leucovorin,100,mg/m2,NA,on day 1 and 8 every 3 weeks,fixed dose
11810040,NA,197,5-fu,425,mg/m2,NA,on day 1 and 8 every 3 weeks,fixed dose
11810040,NA,197,cyclophosphamide,800,mg/m2,NA,on day 1 and 8 every 3 weeks,with G-CSF support
33052756,2018-000482-36,198,iadademstat,140,ug/m2/day,NA,5 days on/2 days off *4 weeks,Recommend Dose
25977344,NCT01295827,199,pembrolizumab,10,mg/kg,NA,on days 1 and 28 and every 14 days thereafter until disease progression or intolerable toxicity occurred,pre-determined maximum administrated dose
25977344,NCT01295827,199,pembrolizumab,2,mg/kg,NA,every 3 weeks,minimal dose at which clinical activity would be observed
15125746,NA,201,gemcitabine,300,mg/m2/week,NA,once a week,infusion at a rate of 10 mg/m2/min
15125746,NA,201,radiotherapy,60-70,Gy,NA,2 Gy daily fraction,fixed dose
12881394,NA,205,cisplatin,40,mg/m2,NA,on day 1 of radiotherapy and administrated 2 h before radiation weekly for 5 weeks.,fixed dose
12881394,NA,205,cisplatin,40,mg/m2,NA,on day 1 of radiotherapy and administrated 2 h before radiation weekly for 5 weeks.,fixed dose
12881394,NA,205,radiotherapy,50.4,Gy,NA,in 28 fractions followed 1 or 2 weeks later by intracavitary brachytherapy.,fixed dose
16327288,NA,207,radiotherapy,54,Gy,NA,30 daily fractions of 1.8 Gy over 6 weeks,fixed dose
11172947,NA,208,mitomycin c,8,mg/m2,NA,Day 1,fixed dose
11172947,NA,208,radiotherapy,45,Gy,NA,1.8 Gy given 5 days a week,fixed dose
16012794,NA,211,gemcitabine,1200,mg/m2,NA,"on days 1, 8 and 15",Rp2D
16012794,NA,211,mitoxantrone,12,mg/m2,NA,on day 8 in 4-weeks cycles,Rp2D
15714201,NA,212,conventional radiotherapy,30,Gy,NA,in 10 fractions for 12 days,fixed dose
12182983,NA,213,diphenhydramine,25,mg,NA,"for 6 weeks on Days 1, 8, 15, 22, 29, and 36.",given 30 min before the initial infusion of paclitaxel; fixed dose
12182983,NA,213,dexamethasone,20,mg,NA,"for 6 weeks on Days 1, 8, 15, 22, 29, and 36.",given 30 min before the initial infusion of paclitaxel; foxed dose
12182983,NA,213,ranitidine,50,mg,NA,"for 6 weeks on Days 1, 8, 15, 22, 29, and 36.",given 30 min before the initial infusion of paclitaxel;fixed dose
12182983,NA,213,paclitaxel,40,mg/m2/week,NA,"for 6 weeks on Days 1, 8, 15, 22, 29, and 36.",fixed dose
12394268,NA,217,gemcitabine,1000,mg/m2,NA,"30 min, on days 1, 8, 15 and 22 followed by 2 weeks rest, days 23–42.",fixed dose
12394268,NA,217,folinic acid,200,mg/m2,NA,"30 min, on days 1, 8, 15 and 22 followed by 2 weeks rest, days 23–42.",fixed dose
12394268,NA,217,5-fu,750,mg/m2,NA,"24 hr, on days 1, 8, 15 and 22 followed by 2 weeks rest, days 23–42.",fixed dose
14760128,NA,218,gemcitabine,1000,mg/m2,NA,"Days 1, 8, 15; a 30-min intravenous infusion 1 h after the administration of PKC412",fixed dose
14760128,NA,218,cisplatin,100,mg/m2,NA,"Day 2,  60 min intravenous infusion 1 h after the administration of PKC412",fixed dose
14760128,NA,218,cisplatin,100,mg/m2,NA,"Day 2,  60 min intravenous infusion 1 h after the administration of PKC412",fixed dose
14760128,NA,218,pkc412,100,mg,NA,b.i.d,"The MTD based on multiple cycles was redefined as 100 mg/day, since prolonged grade 2–3 nausea/ vomiting leading to treatment discontinuation occurred in 3/7 patients after repeated cycles"
14760128,NA,218,pkc412,50,mg,NA,b.i.d,RP2D
12499100,NA,219,gemcitabine,1000,mg/m2,NA,every 3 weeks,Recommend dose
12499100,NA,219,nedaplatin,100,mg/m2,NA,every 3 weeks,Recommend dose
12643004,NA,220,gemcitabine,1000,mg/m2,NA,day 1 and 8 every 21 days,fixed dose
12643004,NA,220,paclitaxel,150,mg/m2,NA,day 1 and 8 every 21 days,recommend dose
12393998,NA,221,gemcitabine,1300,mg/m2,NA,day 1,"infused at a rate of 10 mg/m2/min and paclitaxel, administered during 1 hour"
12393998,NA,221,paclitaxel,200,mg/m2,NA,day 1 and 8,"infused at a rate of 10 mg/m2/min and paclitaxel, administered during 1 hour"
11821464,NA,223,concurrent radiotherapy,50.4,Gy,NA,1.8 Gy/d (5 weeks plus 3 days),fixed dose
16222156,NA,225,cisplatin,75,mg/m2,NA,on day 2 of a 3-weekly cycle,fixed dose
16222156,NA,225,cisplatin,75,mg/m2,NA,on day 2 of a 3-weekly cycle,fixed dose
15380578,NA,226,radiotherapy,50.4,Gy,NA,"in 28 fractions of 1.8 Gy per day, 5 days per week",fixed dose
11704320,NA,230,radiation therapy,45,Gy,NA,25 fractions of 1.8 Gy daily fractions,fixed dose
11704320,NA,230,amifostine,340,mg/m2,NA,twice a week,fixed dose
11704320,NA,230,amifostine,340,mg/m2,NA,twice a week,fixed dose
25854284,NCT00839982,241,cytarabine,20,mg or mg/m2/day,NA,20 mg subcutaneously twice daily for 10 d or at 20 mg/m2 subcutaneously once daily for 14 d,fixed dose
32009149,NCT01514201,242,radiation,5400,cGy,NA,30 fractions over 6 weeks to the planning target volume,fixed dose
32009149,NCT01514201,242,veliparib,65,mg/m2,NA,"b.i.d. Monday through Friday during radiation, morning dose was given 60–120 minutes prior to radiation",25  mg/m2/dose b.i.d. for maintance phase
32002547,NCT01120639,243,temozolomide,75,mg/m2,NA,started the day prior to the first SRS treatment; 8 total days were prescribed.,fixed dose; ARM 1: PTV 0.1 to < 60 cm3
32002547,NCT01120639,243,temozolomide,75,mg/m2,NA,started the day prior to the first SRS treatment; 8 total days were prescribed.,fixed dose; ARM 1: PTV 0.1 to < 60 cm3
32002547,NCT01120639,243,hypofractionated stereotactic radiosurgery,40,Gy,NA,"in 5 consecutive days over 7 elapsed days, with extension over a weekend allowed.",ARM 1: PTV 0.1 to < 60 cm3
20712886,NA,2,vinorelbine,25,mg/m2,NA,days 1 and 8 of each 21-day cycle,Patients then received four cycles of in combination with vinorelbine at 25 mg/m² on days 1 and 8 of each 21-day cycle (dose levels 2 and 4).
20712886,NA,1,capecitabine,1250,mg/m2,NA,days 1-14,Patients then received four cycles of capecitabine days 1-14 either alone
20712886,NA,1,capecitabine,1250,mg/m2,NA,days 1-14,Patients then received four cycles of capecitabine days 1-14 either alone
25924991,NCT01165216,2,ipilimumab,10,mg/kg,NA,First treatment period: two cycles of PTX/CBDCA (q3wks) followed by four cycles of ipilimumab plus PTX/CBDCA q3wks. Second treatment period:patients without disease progression received ipilimumab alone(q12wks) as maintenance treatment.,"patients were required to meet core safety criteria and have adequate bone marrow function(ANC>1500/mm3 and platelet count>100,000/mm3)."
25794535,NCT00969761,2,carboplatin,6,NA,NA,1-hour intravenous carboplatin infusion on day 1 of a 3-week cycle,AUC=6
25794535,NCT00969761,2,carboplatin,6,NA,NA,1-hour intravenous carboplatin infusion on day 1 of a 3-week cycle,AUC=6
21069335,NCT00684099,1,docetaxel,75,mg/m2,1,on day 1 every 3 weeks,The MTD has not been reached. This is recommended doses.
21069335,NCT00684099,1,pemetrexed,500,mg/m2,1,on day 1 every 3 weeks,The MTD has not been reached.This is recommended doses.5th dose level = RD level
21792569,NA,1,docetaxel,75,mg/m2,NA,maximum of 10 cycles,This is recommend dose
21792569,NA,1,re-hedp,40,NA,NA,maximum of 10 cycles,Re-HEDP 40 MBq/kg body weight at cycle 4
21792569,NA,1,re-hedp,20,NA,NA,maximum of 10 cycles,Re-HEDP 20 MBq/kg body weight at cycle 8
22124669,NCT00058253,1,docetaxel,70,mg,NA,NA,"An MTD was not deWned for this study,these are recommended dose for phase two."
22999386,NA,1,lapatinib,1000,ug/kg/per day,1,orally and continuously from day 1–21,recommended dose
22999386,NA,1,docetaxel,100,mg/m2,NA,over 1 h at the start of each cycle,recommended dose
20530449,NA,1,dtx（docetaxel）,60,mg/m2,NA,NA,"The MTD of intraperitoneal DTX was not
determined and the RD was defined as 60 mg/m2 because
dose-limiting toxicity occurred in only one patient at level
II"
21892109,NA,1,erlotinib,600,mg,NA,weekly,arm A
21892109,NA,1,erlotinib,600,mg,NA,weekly,arm A
21892109,NA,1,docetaxel,70,mg/m2,NA,on day 1 of each21-day cycle,arm A
21892109,NA,1,erlotinib,200,NA,NA,on days 2 through 16,arm B
21892109,NA,1,erlotinib,200,NA,NA,on days 2 through 16,arm B
21892109,NA,1,docetaxel,70,mg/m2,NA,day 1 of each 21-day cycle,arm B
21327495,NA,1,docetaxel,75,mg/m2,NA,"""via IV infusion over 1 h, followed 2 h later (from the time the docetaxelinfusion began) by plinabulin""","21-day cycles，this is  RP2D. From the paper:""Any dose level at or below
an MTD could be selected as the RP2D based on safety
and/or pharmacokinetic data"""
21327495,NA,1,plinabulin,30,mg/m2,NA,"""was administered viaIV infusion over 30 min On day1""","""On day 8, only plinabulin was
administered via IV infusion over 30 min."""
22872523,NA,2,motesanib,125,mg,1,on day 1 every 21-daycycle,"21-day
cycle (Arm B)"
20142723,NA,1,liposomal doxorubicin,33,mg/m2,NA,on day 1,MTD
20142723,NA,1,docetaxel,30,mg/m2,NA,"on days 1, 8, and 15",MTD
20142723,NA,1,liposomal doxorubicin,20,mg/m2,NA,on days 1 and 15,"did not reach the MTD, recommend dose"
20142723,NA,1,docetaxel,35,mg/m2,NA,on days 1 and 15,"did not reach the MTD,recommend dose"
21439816,NA,1,su-014813,50,mg,NA,"""every morning on an empty stomach with aglass of water, about 2 h from food intake in cycles of 3 weeksstarting from day 2 in cycle 1""","This is recommended dose, MTD was exceeded."
21439816,NA,1,docetaxel,75,mg/m2,NA,"""1 h intravenous infusionevery 21 days starting from day 1 in cycle 1""","1 h intravenous infusion
every 21 days starting from day 1 in cycle 1"
22752248,NA,1,sorafenib,400,mg,2,BID on days 1–21,"The MTD was not reached in
this study.This is the highest feasible dose and was used to treat the patients in the expanded cohort to confirm the safety of
the combination."
23482452,NA,1,docetaxel,60,mg/m2,NA,NA,"Patients with locally advanced non-small cell lung cancer may tolerate 60mg/m2
 docetaxel and
60mg/m2
 cisplatin for 2 cycles during concurrent radiotherapy after 2-3 cycles of induction chemotherapy."
23482452,NA,1,cisplatin,60,mg/m2,NA,NA,"Patients with locally advanced non-small cell lung cancer may tolerate 60mg/m2
 docetaxel and
60mg/m2
 cisplatin for 2 cycles during concurrent radiotherapy after 2-3 cycles of induction chemotherapy."
23482452,NA,1,cisplatin,60,mg/m2,NA,NA,"Patients with locally advanced non-small cell lung cancer may tolerate 60mg/m2
 docetaxel and
60mg/m2
 cisplatin for 2 cycles during concurrent radiotherapy after 2-3 cycles of induction chemotherapy."
21821830,NCT00137436,2,sunitinib,37.5,mg,NA,"""sunitinib was started 1 day afterdocetaxel""",RP2D.  MTD is not discussed here.
11051260,NA,1,doxorubicin,40,mg/m2,NA,NA,docetaxel -> doxorubicin
11051260,NA,1,docetaxel,50,mg/m2,NA,NA,docetaxel -> doxorubicin
11051260,NA,1,docetaxel,70,mg/m2,NA,NA,doxorubicin -> docetaxel
11051260,NA,1,doxorubicin,50,mg/m2,NA,NA,doxorubicin -> docetaxel
11408509,NA,1,doxil,30,mg/m2,NA,every 4 weeks,with G-CSF( granulocyte colony-stimulating factor )
11408509,NA,1,docetaxel,75,mg/m2,NA,every 4 weeks,with G-CSF( granulocyte colony-stimulating factor )
11408509,NA,1,doxil,30,mg/m2,NA,every 3weeks,without G-CSF
11408509,NA,1,docetaxel,60,mg/m2,NA,every 3weeks,without G-CSF
9053501,NA,1,docetaxel,75,mg/m2,NA,infused over 1hour,dose level 3
9053501,NA,1,cisplatin,100,mg/m2,NA,infused over 1 hour immediately on completion of the docetaxelinfusion,dose level 3
9053501,NA,1,cisplatin,100,mg/m2,NA,infused over 1 hour immediately on completion of the docetaxelinfusion,dose level 3
9053501,NA,1,docetaxel,100,mg/m2,NA,infused over 1hour,dose level 4
9053501,NA,1,cisplatin,75,mg/m2,NA,infused over 1 hour immediately on completion of the docetaxelinfusion,dose level 4
9053501,NA,1,cisplatin,75,mg/m2,NA,infused over 1 hour immediately on completion of the docetaxelinfusion,dose level 4
9440738,NA,3,docetaxel,20,mg/m2,NA,"schedule C:, weekly","as 60 mg/m 2 per cycle (20 mg/m2/
wk)."
9459161,NA,1,docetaxel,75,mg/m2,NA,NA,"manageable dose, not MTD."
9459161,NA,1,ifosfamide,5000,mg/m2,NA,NA,"manageable dose,not MTD"
9193350,NA,1,docetaxel,65,mg/m2,NA,1-hour intravenous infusion every 21 days,Heavily pretreated
9850032,NA,1,docetaxel,100,mg/m2,NA,1-hour infusion after gemcitabine day I,"On the day-15
schedule, delivery of the planned docetaxel doses was."
10678557,NA,1,docetaxel,60,mg/m2,NA,every 3-4 weeks,fixed dose
10678557,NA,1,cisplatin,80,mg/m2,NA,every 3-4 weeks,fixed dose
10678557,NA,1,cisplatin,80,mg/m2,NA,every 3-4 weeks,fixed dose
10811508,NA,1,docetaxel,40,mg/m2,NA,on days 1 and 8 with,"This is recommended safe dose, not MTD."
10811508,NA,2,docetaxel,35,mg/m2,NA,on days 1 and 8 with,"This is recommended safe dose, not MTD."
11147602,NA,2,docetaxel,35,mg/m2,NA,NA,"recommended treatment doses, not MTD."
11147602,NA,2,paclitaxel,65,mg/m2,NA,NA,"recommended treatment doses, not MTD."
10963645,NA,1,"rpr
109881a",75,mg/m2,NA,administered in 250 mL of dextrose or 0.9% saline as a1-hour IV infusion,Therapy was repeated every 21 days
11181674,NA,1,cisplatin,100,mg/m2 ,NA,NA,"TPF induction chemotherapy can be delivered safely with a cisplatin dose of 100 mg/m2 in
previously untreated patients with SCCHN"
