PMID,NCTID,CombnID,DLT,Grade,At_Level,Duration,Observed_Frequency,Total,Occurence,Comments,combined_dose_info
32122924,NCT02889523,52,a grade 5 pneumocystis jirovecii,5,3,NA,1,8,NA,NA,"tazemetostat (800 mg), rituximab (375 mg/m2), prednisolone (40 mg/m2), doxorubicine (50 mg/m2), cyclophosphamide (750 mg/m2), vincristine (1.4 mg/m2)"
32381487, NCT03168061,53,grade 4 thrombocytopenia,4,3,NA,1,8,NA,NA,"nc-6300
 (170 mg/m2)"
32381487, NCT03168061,53,grade 4febrile neutropenia,4,3,NA,1,8,NA,NA,"nc-6300
 (170 mg/m2)"
32381487, NCT03168061,53,Grade 3 stomatitis Dose reduced,3,5,NA,1,8,NA,NA,"nc-6300
 (200 mg/m2)"
32381487, NCT03168061,53,Grade 3 lung infection,3,5,NA,1,8,NA,NA,"nc-6300
 (200 mg/m2)"
32381487, NCT03168061,53,Grade 4 febrile neutropenia,4,5,NA,1,8,NA,NA,"nc-6300
 (200 mg/m2)"
32381487, NCT03168061,53,Grade 4 thrombocytopenia,4,5,NA,1,8,NA,NA,"nc-6300
 (200 mg/m2)"
32381487, NCT03168061,53,grade 4 thrombocytopenia,4,6,NA,1,4,NA,NA,"nc-6300
 (215 mg/m2)"
32381487, NCT03168061,53,grade 4febrile neutropenia,4,6,NA,1,4,NA,NA,"nc-6300
 (215 mg/m2)"
31675535,NCT00856037,54,grade 4 thrombocytopenia,4,2,NA,1,6,NA,NA,"doxorubicin (20 mg/m2), topotecan (1.05 mg/m2), topotecan (1.05 mg/m2)"
31675535,NCT00856037,54,grade 4 thrombocytopenia,4,4,NA,2,5,NA,NA,"doxorubicin (20 mg/m2), topotecan (1.65 mg/m2), topotecan (1.65 mg/m2)"
26903311,NCT00878904,55,atrial fibrillation,NA,4,NA,1,7,NA,NA,"panobinostat (50 mg), epirubicin (75 mg/m2)"
26903311,NCT00878904,55,grade 4thrombocytopenia and febrile neutropenia,4,5,NA,1,4,NA,NA,"panobinostat (60 mg), epirubicin (75 mg/m2)"
26903311,NCT00878904,55,grade 3fatigue,3,5,NA,1,4,NA,NA,"panobinostat (60 mg), epirubicin (75 mg/m2)"
29856514,NA,57,grade 3diarrhea and acidosis,3,3,NA,1,5,NA,NA,metformin (1333 mg/m2)
29856514,NA,57,grade 4 hypokalemia,4,3,NA,1,5,NA,NA,metformin (1333 mg/m2)
29856514,NA,57,grade 3 diarrhea,3,3,NA,1,5,NA,NA,metformin (1333 mg/m2)
29856514,NA,57,grade 3 hypoglycemia,3,2,NA,1,6,NA,NA,metformin (1000 mg/m2)
29856514,NA,57,grade 4 acidosis,4,2,NA,1,6,NA,NA,metformin (1000 mg/m2)
27403082,NCT00878800,58,CTC grade 3rash/hand and foot syndrome,3,3,NA,1,9,NA,NA,"belinostat (800 mg/m2), doxorubicin (75 mg/m2)"
33602316,NCT01839097,60,"Grade 3 nausea, vomiting, diarrhea and dehydration",3,3,NA,1,8,NA,NA,belinostat (1000 mg/m2)
29055839,NA,61,grade III mucositis,3,3,NA,1,7,NA,NA,dts-201 (250 mg/m2)
29055839,NA,61,grade IV neutropenia,4,4,more than 5 days,1,12,NA,NA,dts-201 (400 mg/m2)
29055839,NA,61,grade III vomiting,3,4,NA,1,12,NA,NA,dts-201 (400 mg/m2)
29055839,NA,61,febrileneutropenia,NA,4,NA,1,12,NA,NA,dts-201 (400 mg/m2)
33474828,NCT02677116,62,grade 4 elevated ALT,4,A,NA,1,30,NA,NA,olaratumab (15 mg/kg)
33474828,NCT02677116,62,grade 3 elevated gamma-glutamyl transferase,3,B,NA,1,24,NA,NA,olaratumab (20 mg/kg)
33474828,NCT02677116,62,grade 3 lung infection,3,C,NA,1,14,NA,NA,"olaratumab (20 mg/kg), doxorubicin (37.5 mg/m2), ifosfamide (2.8 g/m2), vincristine (1.5 mg/m2), irinotecan (50 mg/m2)"
33474828,NCT02677116,62,grade 3 elevated ALT,3,C,NA,1,14,NA,"in the vincristine/irinotecan 
treatment arm","olaratumab (20 mg/kg), doxorubicin (37.5 mg/m2), ifosfamide (2.8 g/m2), vincristine (1.5 mg/m2), irinotecan (50 mg/m2)"
32055930,NCT01145430,63,Pericardial tamponade,4,4,NA,1,3,NA,Stratum A,"veliparib (200 mg), pegylated liposomal doxorubicin (40 mg/m2)"
32055930,NCT01145430,63,"Nausea, dehydration, emesis",3,4,NA,1,6,NA,stratum B,"veliparib (200 mg), pegylated liposomal doxorubicin (40 mg/m2)"
32055930,NCT01145430,63,"Nausea, anorexia",2,5,NA,1,6,NA,stratum B,"veliparib (250 mg), pegylated liposomal doxorubicin (40 mg/m2)"
32055930,NCT01145430,63,Abdominal pain,3,5,NA,1,6,NA,stratum B,"veliparib (250 mg), pegylated liposomal doxorubicin (40 mg/m2)"
32055930,NCT01145430,63,Headache,2,6,NA,1,6,NA,stratum B,"veliparib (300 mg), pegylated liposomal doxorubicin (40 mg/m2)"
32055930,NCT01145430,63,"Nausea, emesis",3,6,NA,1,6,NA,stratum B,"veliparib (300 mg), pegylated liposomal doxorubicin (40 mg/m2)"
32055930,NCT01145430,63,"Dizziness, fatigue",4,7,NA,1,2,NA,stratum B,"veliparib (350 mg), pegylated liposomal doxorubicin (40 mg/m2)"
32055930,NCT01145430,63,"Emesis, anorexia, fatigue, nausea",3,7,NA,1,2,NA,stratum B,"veliparib (350 mg), pegylated liposomal doxorubicin (40 mg/m2)"
27255289,NA,64,grade 3 elevated gammaglutamyl transferase on day 8 of cycle 1,3,2,NA,1,5,NA,NA,"s-1 (25 mg.m2), epirubicin (50 mg/m2), oxaliplatin (130 mg/m2), oxaliplatin (130 mg/m2)"
27255289,NA,64,"grade 4 cholangitis, grade 4 sepsis, grade 4 thrombocytopenia, and grade 4 febrile neutropeni",4,2,NA,1,5,NA,NA,"s-1 (25 mg.m2), epirubicin (50 mg/m2), oxaliplatin (130 mg/m2), oxaliplatin (130 mg/m2)"
29174203,NA,65,neutropenia,2,2,NA,1,3,NA,NA,"pld (pegylated liposomal
doxorubicin) (35 mg/m2), cyclophosphamide (60 mg/m2)"
29174203,NA,65,neutropenia,3,2,NA,1,3,NA,NA,"pld (pegylated liposomal
doxorubicin) (35 mg/m2), cyclophosphamide (60 mg/m2)"
31772119,NCT01902225,67,thrombocytopenia lasting greater than 7 days,3,3,NA,1,6,NA,NA,"romidepsin (12 mg/m2), liposomal doxorubicin (20 mg/m2)"
31772119,NCT01902225,67,neutropenia,4,4,NA,1,3,NA,NA,"romidepsin (14 mg/m2), liposomal doxorubicin (20 mg/m2)"
31772119,NCT01902225,67,thrombocytopenia,3,4,NA,1,3,NA,NA,"romidepsin (14 mg/m2), liposomal doxorubicin (20 mg/m2)"
29104762,NCT01655693,68,neutropenia,4,4,NA,2,3,NA,NA,"dt (40 mg/m2), dt (40 mg/m2)"
32601796,NA,69,thrombocytopenia,NA,NA,NA,NA,NA,NA,NA,NA
32601796,NA,70,cutaneous toxicity,3,1,NA,1,6,NA,NA,NA
32601796,NA,70,grade 3 leucopenia and one grade 4 thrombopenia,4,1,NA,1,6,NA,NA,NA
32601796,NA,71,neutropenia and thrombopenia),>=3,2,NA,2,8,NA,NA,NA
32601796,NA,71,grade 4thrombopenia/neutropenia with sepsis,4,1,NA,1,3,NA,NA,NA
32601796,NA,71,grade 3 pneumonia,3,1,NA,1,3,NA,NA,NA
32601796,NA,71,"grade 3neutropenia + hemorrhage,",3,-1,NA,1,3,NA,NA,NA
32601796,NA,71,grade 4 thrombopenia,4,-1,NA,1,3,NA,NA,NA
32601796,NA,71,grade 3 hyperglycemia,3,-1,NA,1,3,NA,NA,NA
30361524,NCT01304797,73,febrile neutropenia,NA,1,NA,1,NA,NA,NA,"mm-302 (30 mg/m2), trastuzumab (4 mg/kg), mm-302 (30 mg/m2), trastuzumab (6 mg/kg)"
33095287,NCT01606878,75,Nausea,3,1,NA,1,6,NA,NA,"crizotinib (165 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (165 mg/m2)"
33095287,NCT01606878,75,Nausea,3,2,NA,1,3,NA,NA,"crizotinib (215 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (215 mg/m2)"
33095287,NCT01606878,75,dehydration,3,2,NA,1,3,NA,NA,"crizotinib (215 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (215 mg/m2)"
33095287,NCT01606878,76,nausea,3,3,NA,1,2,NA,NA,"crizotinib (280 mg/m2), vincristine (1.5 mg/m2), doxorubicin (45 mg/m2), crizotinib (280 mg/m2)"
33095287,NCT01606878,75,dehydation,3,3,NA,1,2,NA,NA,NA
33095287,NCT01606878,75,QTc prolongation,4,3,NA,1,2,NA,NA,NA
33095287,NCT01606878,77,esophageal pain,3,2,NA,1,8,NA,NA,"crizotinib (215 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (215 mg/m2)"
33095287,NCT01606878,77,hematuria,3,2,NA,1,8,NA,NA,"crizotinib (215 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (215 mg/m2)"
33095287,NCT01606878,77,blurred vision,3,3,NA,1,3,NA,NA,"crizotinib (280 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (280 mg/m2)"
33095287,NCT01606878,77,diplopia,3,3,NA,1,3,NA,NA,"crizotinib (280 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (280 mg/m2)"
33095287,NCT01606878,77,hypotension,3,3,NA,1,3,NA,NA,"crizotinib (280 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (280 mg/m2)"
33095287,NCT01606878,77,dysphagia,3,2,NA,1,8,NA,NA,"crizotinib (215 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (215 mg/m2)"
33095287,NCT01606878,78,neutrophil count decreased,4,2,NA,1,3,NA,NA,"crizotinib (215 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (215 mg/m2)"
33095287,NCT01606878,78,sepsis,4,2,NA,1,3,NA,NA,"crizotinib (215 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (215 mg/m2)"
33095287,NCT01606878,78,syncope,3,2,NA,1,3,NA,NA,"crizotinib (215 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (215 mg/m2)"
33095287,NCT01606878,78,platelet count decreased,>=3,1,NA,3,5,NA,NA,"crizotinib (165 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2)"
33095287,NCT01606878,78,neutrophil count decreased,4,1,NA,2,5,NA,NA,"crizotinib (165 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2)"
33095287,NCT01606878,78,dehydration,4,1,NA,1,5,NA,NA,"crizotinib (165 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2)"
33095287,NCT01606878,78,diarrhea,4,1,NA,1,5,NA,NA,"crizotinib (165 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2)"
33095287,NCT01606878,78,hypokalemia,4,1,NA,1,5,NA,NA,"crizotinib (165 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2)"
33095287,NCT01606878,75,nausea,3,1,NA,1,6,NA,NA,"crizotinib (165 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (165 mg/m2)"
33095287,NCT01606878,75,nausea,3,2,NA,1,3,NA,NA,"crizotinib (215 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (215 mg/m2)"
33095287,NCT01606878,76,dehydration,3,3,NA,1,2,NA,NA,"crizotinib (280 mg/m2), vincristine (1.5 mg/m2), doxorubicin (45 mg/m2), crizotinib (280 mg/m2)"
33095287,NCT01606878,76,QTc prolongation,4,3,NA,1,2,NA,NA,"crizotinib (280 mg/m2), vincristine (1.5 mg/m2), doxorubicin (45 mg/m2), crizotinib (280 mg/m2)"
33095287,NCT01606878,77,Esophageal pain,3,2,NA,1,8,NA,NA,"crizotinib (215 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (215 mg/m2)"
33095287,NCT01606878,77,Blurred vision,3,3,NA,1,3,NA,NA,"crizotinib (280 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (280 mg/m2)"
33095287,NCT01606878,78,Neutrophil count decreased,4,2,NA,1,3,NA,NA,"crizotinib (215 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2), crizotinib (215 mg/m2)"
33095287,NCT01606878,78,Platelet count decreased,>=3,1,NA,3,5,NA,NA,"crizotinib (165 mg/m2), cyclophosphamide (250 mg/m2), topotecan (0.75 mg/m2), topotecan (0.75 mg/m2)"
28718812,NCT02562378,79,grade 4 neutropenia lasting 13 days,4,3,NA,1,9,NA,NA,"trastuzumab emtansine (3.6 mg/kg), non-pegylated liposomal doxorubicin (60 mg/m2)"
29903707,NCT01622439,80,tinnitus,1,3,NA,2,3,NA,NA,"sodium valproate (80 mg/kg), rituximab (375 mg/m2), vincristine (1.4 mg/m2), prednisone (50 mg/m2)"
29903707,NCT01622439,80,"hearing impairment and tinnitus,",1,4,NA,1,6,NA,NA,"sodium valproate (100 mg/kg), rituximab (375 mg/m2), cyclophosphamide (750 mg/m2), doxorubicin (50 mg/m2), vincristine (1.4 mg/m2), prednisone (50 mg/m2)"
29903707,NCT01622439,80,hearing impairment,3,4,NA,1,6,NA,NA,"sodium valproate (100 mg/kg), rituximab (375 mg/m2), cyclophosphamide (750 mg/m2), doxorubicin (50 mg/m2), vincristine (1.4 mg/m2), prednisone (50 mg/m2)"
29903707,NCT01622439,80,acute confusion and hallucinations,1,4,NA,1,6,NA,NA,"sodium valproate (100 mg/kg), rituximab (375 mg/m2), cyclophosphamide (750 mg/m2), doxorubicin (50 mg/m2), vincristine (1.4 mg/m2), prednisone (50 mg/m2)"
30850381,NCT02055820,81,neutropenia,3,1,NA,1,7,NA,NA,"venetoclax (200 mg/d), r-chop (NA NA)"
30850381,NCT02055820,81,sepsis,4,3,NA,1,8,NA,NA,"venetoclax (600 mg/d), r-chop (NA NA)"
30850381,NCT02055820,81,laboratory TLS,4,3,NA,1,8,NA,NA,"venetoclax (600 mg/d), r-chop (NA NA)"
30850381,NCT02055820,82,"acute coronary syndrome, infection",3,1,NA,1,7,NA,NA,"venetoclax (200 mg/d), g-chop (NA NA)"
30850381,NCT02055820,82,pneumonia,3,1,NA,1,7,NA,NA,"venetoclax (200 mg/d), g-chop (NA NA)"
30850381,NCT02055820,82,febrile neutropenia,4,2,NA,1,7,NA,NA,"venetoclax (400 mg/d), g-chop (NA NA)"
30850381,NCT02055820,82,Sepsis,4,3,NA,1,6,NA,NA,"venetoclax (600 mg/d), g-chop (NA NA)"
16870542,NA,83,Febrile neutropenia,NA,1,NA,1,7,NA,NA,"cisplatin (100 mg/m2), cisplatin (100 mg/m2), vinorelbine (8 mg/m2/d)"
16870542,NA,83,Febrile neutropenia,NA,2,NA,1,5,NA,NA,"cisplatin (100 mg/m2), cisplatin (100 mg/m2), vinorelbine (9 mg/m2/d)"
16870542,NA,83,mucositis,3,2,NA,1,5,NA,NA,"cisplatin (100 mg/m2), cisplatin (100 mg/m2), vinorelbine (9 mg/m2/d)"
16870542,NA,83,infection,3,2,NA,1,5,NA,NA,"cisplatin (100 mg/m2), cisplatin (100 mg/m2), vinorelbine (9 mg/m2/d)"
16179099,NA,84,mucositis,3,3,NA,1,5,NA,NA,vinorelbine (10 mg/m2/d)
16179099,NA,84,Febrile neutropenia,NA,4,NA,2,7,NA,NA,vinorelbine (11 mg/m2/d)
16179099,NA,84,Febrile neutropenia,NA,5,NA,3,6,NA,NA,vinorelbine (12 mg/m2/d)
16179099,NA,84,mucositis,3,5,NA,1,6,NA,NA,vinorelbine (12 mg/m2/d)
12655441,NA,85,constipation,4,6,NA,1,6,NA,NA,anhydrovinblastine (25 mg/m2)
12655441,NA,85,nausea/vomiting,3,6,NA,1,6,NA,NA,anhydrovinblastine (25 mg/m2)
12655441,NA,85,nausea/vomiting,3,5,NA,1,6,NA,NA,anhydrovinblastine (21 mg/m2)
12649112,NA,86,stomatitis,3,7,NA,1,6,NA,NA,vinflunine (320 mg/m2)
12649112,NA,86,stomatitis,4,7,NA,1,6,NA,NA,vinflunine (320 mg/m2)
12649112,NA,86,constipation,3,7,NA,1,6,NA,NA,vinflunine (320 mg/m2)
12649112,NA,86,oesophagitis,4,7,NA,1,6,NA,NA,vinflunine (320 mg/m2)
12649112,NA,86,abdominal pain,4,9,NA,1,5,NA,NA,vinflunine (400 mg/m2)
12649112,NA,86,constipation,3,9,NA,1,5,NA,NA,vinflunine (400 mg/m2)
12649112,NA,86,heart failure,3,9,NA,1,5,NA,NA,vinflunine (400 mg/m2)
12649112,NA,86,fatal febrile neutropenia/septic shock,NA,8,NA,1,6,NA,NA,vinflunine (350 mg/m2)
12649112,NA,86,dyspnoea,3,8,NA,1,6,NA,NA,vinflunine (350 mg/m2)
12649112,NA,86,hypertension,3,8,NA,1,6,NA,NA,vinflunine (350 mg/m2)
15809877,NA,87,prolonged neutropenia,NA,2,NA,2,3,NA,NA,"zosuquidar (200 mg/m2), vinorelbine (30 mg/m2)"
15809877,NA,87,febrile neutropenia,NA,4,NA,1,3,NA,NA,"zosuquidar (300 mg/m2), vinorelbine (22.5 mg/m2)"
16211365,NA,88,constipation,4,1,NA,1,6,NA,NA,vinflunine (210 mg/m2)
16211365,NA,88,myalgia,3,1,NA,1,6,NA,NA,vinflunine (210 mg/m2)
16211365,NA,88,constipation,3,1,NA,1,6,NA,NA,vinflunine (210 mg/m2)
16211365,NA,88,febrile neutropenia,NA,-1,NA,2,4,NA,NA,vinflunine (190 mg/m2)
16211365,NA,88,constipation and abdominal pain,3,-1,NA,1,4,NA,NA,vinflunine (190 mg/m2)
16211365,NA,88,fatigue,3,-2,NA,2,6,NA,NA,vinflunine (170 mg/m2)
16211365,NA,88,constipation,3,-2,NA,1,6,NA,NA,vinflunine (170 mg/m2)
16211365,NA,88,febrile neutropenia,NA,-2,NA,1,6,NA,NA,vinflunine (170 mg/m2)
16937306,NA,89,esophagitis,3,1,NA,3,3,NA,NA,"cisplatin (20 mg/m2), cisplatin (20 mg/m2), vinorelbine (15 mg/m2)"
16937306,NA,89,"fatigue, infection, and hyponatremia",3,0,NA,2,6,NA,NA,"cisplatin (20 mg/m2), cisplatin (20 mg/m2), vinorelbine (10 mg/m2)"
14984944,NA,90,grade 2 WBC and ANC toxicity during cycles 1– 3 resulting in the holding of >1 chemotherapy cycle,2,3,NA,2,3,NA,NA,vinorelbine (20 NA)
15122074,NA,91,elevation in alkaline phosphatase,3,4,NA,1,3,NA,NA,"vinorelbine (27.5 mg/m2), diphenylhydantoin (400 mg)"
15122074,NA,91,leukopenia,3,6,NA,2,5,NA,NA,"vinorelbine (32.5 mg/m2), diphenylhydantoin (400 mg)"
15122074,NA,91,neutropenia,3,6,NA,1,5,NA,NA,"vinorelbine (32.5 mg/m2), diphenylhydantoin (400 mg)"
15122074,NA,91,neutropenia,4,1,NA,1,5,NA,NA,"vinorelbine (20 mg/m2), diphenylhydantoin (400 mg)"
31959492,NA,1,neutropenic fever,4,3,NA,1,6,NA,NA,olaparib (200 mg)
31959492,NA,1,neutropenia,4,3,NA,1,6,NA,NA,olaparib (200 mg)
7664282,NA,3,thrombocytopenia,4,2,NA,5,6,NA,2100 and 2700 mg/m2 amifostine,melphalan (45 mg/m2)
7664282,NA,3,neutropenia,4,2,NA,6,6,NA,2100 and 2700 mg/m2 amifostine,melphalan (45 mg/m2)
29500276,NCT01696032,4,neutropenia ,4,1,NA,4,6,NA,NA,"guadecitabine (45 mg/m2), carboplatin (0 NA), carboplatin (0 NA)"
29500276,NCT01696032,4,thrombocytopenia,4,1,NA,2,6,NA,NA,"guadecitabine (45 mg/m2), carboplatin (0 NA), carboplatin (0 NA)"
29348128,NCT01814826,5,bilirubin elevation,2,2,NA,1,3,NA,NA,pevonedistat (30 mg/m2)
29348128,NCT01814826,5,AST elevation,4,2,NA,1,3,NA,NA,pevonedistat (30 mg/m2)
29348128,NCT01814826,5,transaminase elevation,>=3,1,NA,2,55,NA,NA,"azacitidine (75 mg/m2), pevonedistat (20 mg/m2)"
28881739,NCT00748553,6,Leukopenia,4,1,NA,1,5,NA,NA,nab-paclitaxel (100 mg/m2)
28881739,NCT00748553,6,Neutropenia,4,1,NA,3,5,NA,NA,nab-paclitaxel (100 mg/m2)
28881739,NCT00748553,6,Leukopenia,4,2,NA,2,5,NA,NA,NA
28881739,NCT00748553,6,Neutropenia,4,2,NA,3,5,NA,NA,NA
28881728,ACTRN12610001031055,7,mucositis,3,1,NA,1,6,NA,NA,"azacitidine (75 mg/m2), everolimus (2.5 mg), everolimus (2.5 mg)"
28881728,ACTRN12610001031055,7,septic arthritis,3,2,NA,1,11,NA,NA,"everolimus (5 mg), everolimus (5 mg)"
28555084,NCT01729845,8,respiratory failure with shock and multisystem organ failure,4,2,NA,1,12,NA,NA,decitabine (20 mg/m2)
28555084,NCT01729845,8,respiratory failure with shock and multisystem organ failure,4,3,NA,1,12,NA,NA,decitabine (20 mg/m2)
26055299,NCT00986804,11,hematological DLT,4,1,NA,1,8,NA,NA,decitabine (5 mg/m2)
24493831,NA,16,pyrexia,3,2,NA,1,6,NA,NA,onartuzumab (4 mg/kg)
24493831,NA,16,hemoptysis,1,1,NA,1,9,NA,a patient with a prior history of pulmonary hemorrhage,onartuzumab (1 mg/kg)
24649202,NA,17,diarrhea,3,1,NA,2,6,NA,NA,"bevacizumab (5 mg/kg), l‑leucovorin (200 mg/m2), 5‑fu civ (2000 mg/m2), 5‑fu bolus (400 mg/m2)"
24770667,NCT00633529,18,dehydration,3,2,NA,1,6,NA,NA,imo-2055 (0.16 mg/kg)
24770667,NCT00633529,18,fatigue,3,4,NA,1,3,NA,NA,imo-2055 (0.48 mg/kg)
24535315,NA,19,thrombocytopenia,4,1,7 days,1,6,NA,NA,"pm00104 (2 mg/m2), carboplatin (3 NA), carboplatin (3 NA)"
24535315,NA,20,thrombocytopenia,4,1,7days,1,8,NA,NA,"pm00104 (2 mg/m2), carboplatin (3 NA), carboplatin (3 NA)"
24535315,NA,19,thrombocytopenia,4,2,NA,2,6,NA,NA,NA
24752867,NA,21,atypical chest pain,3,2,NA,1,17,Day 13,NA,"bevacizumab (5 mg/kg), cediranib (20 mg)"
24752867,NA,21,hemoptysis,5,3,NA,1,27,NA,at dose expansion stage,"bevacizumab (5 mg/kg), cediranib (30 mg)"
24752867,NA,21,hypertension,>=3,4,NA,2,4,NA,NA,"bevacizumab (5 mg/kg), cediranib (45 mg)"
24752867,NA,21,fatigue,3,3,NA,1,27,NA,NA,"bevacizumab (5 mg/kg), cediranib (30 mg)"
24752867,NA,21,thrombocytopenia,>=3,3,NA,2,27,NA,NA,"bevacizumab (5 mg/kg), cediranib (30 mg)"
24752867,NA,21,hypertension,3,3,NA,1,27,NA,NA,"bevacizumab (5 mg/kg), cediranib (30 mg)"
32847973,NCT00572078,22,neutropenia,2,1,>7 days,1,6,NA,NA,"paclitaxel (80 mg), bevacizumab (5 mg/kg), sorafenib (200 mg)"
32847973,NCT00572078,22,hypertension,3,2,NA,1,19,NA,NA,sorafenib (200 mg)
32847973,NCT00572078,22,hand–foot skin reaction,3,3,NA,2,2,NA,NA,sorafenib (400 mg)
32847973,NCT00572078,22,hand–foot skin reaction,3,2,NA,2,19,NA,NA,sorafenib (200 mg)
32847973,NCT00572078,22,hand–foot skin reaction,2,2,NA,2,19,NA,resulting in sorafenib delay >7 days,sorafenib (200 mg)
