PMID,NCTID,CombnID,Drug_Name,Admin_Route,Dose_Form,Comments
29903707,NCT01622439,80,sodium valproate,oral,NA,3 times daily on days 1 to 3
29903707,NCT01622439,80,rituximab,i.v.,NA,R-CHO
29903707,NCT01622439,80,cyclophosphamide,i.v.,NA,R-CHO
29903707,NCT01622439,80,doxorubicin,i.v.,NA,R-CHO
29903707,NCT01622439,80,vincristine,NA,NA,R-CHO
29903707,NCT01622439,80,prednisone,NA,NA,daily on days 1 to 5
16870542,NA,83,cisplatin,i.v.,NA,NA
16870542,NA,83,vinorelbine,i.v.,NA,NA
16179099,NA,84,vinorelbine,i.v.,NA,NA
12655441,NA,85,anhydrovinblastine,i.v.,NA,NA
12649112,NA,86,vinflunine,i.v.,NA,NA
15809877,NA,87,zosuquidar,oral,NA,NA
15809877,NA,87,vinorelbine,i.v.,NA,NA
16211365,NA,88,vinflunine,i.v.,NA,NA
16937306,NA,89,cisplatin,i.v.,NA,NA
16937306,NA,89,vinorelbine,i.v.,NA,NA
16937306,NA,89,radiation therapy,i.v.,NA,NA
14984944,NA,90,vinorelbine,i.v.,NA,NA
14984944,NA,90,cisplatin,i.v.,NA,NA
14984944,NA,90,pelvic radiation therapy,NA,NA,NA
15122074,NA,91,vinorelbine,i.v.,NA,NA
15122074,NA,91,diphenylhydantoin,i.v.,NA,NA
31959492,NA,1,paclitaxel,i.v.,NA,NA
31959492,NA,1,bevacizumab,i.v.,NA,NA
31959492,NA,1,ip cisplatin,i.v.,NA,NA
31959492,NA,1,olaparib,oral,NA,NA
24493831,NA,16,onartuzumab,i.v.,Injection,NA
24493831,NA,16,bevacizumab,i.v.,Injection,NA
24649202,NA,17,radiation therapy,radiation,Radiation,NA
24649202,NA,17,bevacizumab,i.v.,Injection,NA
24649202,NA,17,5‑fu,i.v.,Injection,NA
24649202,NA,17,l‑leucovorin,i.v.,Injection,NA
24770667,NCT00633529,18,imo‑2055,sc,NA,NA
24770667,NCT00633529,18,erlotinib,oral,Tablet,NA
24770667,NCT00633529,18,bevacizumab,i.v.,Injection,NA
24752867,NA,21,bevacizumab,i.v.,Injection,NA
24752867,NA,21,cediranib,oral,Tablet,NA
32847973,NCT00572078,22,paclitaxel,i.v.,Injection,NA
32847973,NCT00572078,22,bevacizumab,i.v.,Injection,NA
32847973,NCT00572078,22,sorafenib,oral,NA,NA
33159605,UMIN000006254,23,bevacizumab,i.v.,Injection,NA
33159605,UMIN000006254,23,s-1,oral,NA,NA
32522887,NCT02030561,24,nk-cell,i.v.,NA,NA
32522887,NCT02030561,24,trastuzumab,i.v.,NA,NA
32490554,UMIN000016094,25,s-1,oral,NA,NA
32490554,UMIN000016094,25,leucovorin,oral,NA,NA
32490554,UMIN000016094,25,bevacizumab,i.v.,NA,NA
31932108,NCT02055690,28,pazopanib,oral,Tablet,NA
31932108,NCT02055690,28,fosbretabulin,i.v.,NA,NA
31924737,NCT01916447,29,trifluridine,oral,NA,NA
31924737,NCT01916447,29,tipiracil,oral,NA,NA
31924737,NCT01916447,29,irinotecan,i.v.,NA,NA
31375879,NCT02354131,31,bevacizumab,i.v.,NA,NA
31375879,NCT02354131,31,niraparib,oral,NA,NA
31194228,NCT02657889,32,niraparib,oral,NA,NA
31194228,NCT02657889,32,pembrolizumab,i.v.,NA,NA
30302599,NCT01047293,33,bevacizumab,i.v.,NA,NA
30302599,NCT01047293,33,oxaliplatin,i.v.,NA,NA
30302599,NCT01047293,33,folinic acid,i.v.,NA,NA
30302599,NCT01047293,33,5-fluorouracil,i.v.,NA,NA
30302599,NCT01047293,33,everolimus,oral,NA,NA
30603797,NCT02835833,38,nintedanib,oral,NA,NA
30603797,NCT02835833,38,bevacizumab,i.v.,NA,Premedication with a 5-HT3 antagonist was used if needed
29695765,NCT01113476,40,gemcitabine,i.v.,NA,NA
29695765,NCT01113476,40,nab-paclitaxel,i.v.,NA,NA
29695765,NCT01113476,40,bevacizumab,i.v.,NA,NA
29290249,UMIN000015944,41,afatinib,oral,NA,NA
29290249,UMIN000015944,41,bevacizumab,i.v.,NA,NA
29264836,NA,42,bevacizumab,i.v.,NA,NA
29264836,NA,42,temozolomide,oral,NA,NA
29264836,NA,42,vorinostat,oral,Capsule,NA
28810837,NCT01202032,49,pazopanib,oral,NA,NA
28810837,NCT01202032,49,bevacizumab,i.v.,NA,NA
29101518,UMIN000012536,50,pemetrexed,i.v.,NA,10-min intravenous infusion
29101518,UMIN000012536,50,cisplatin,i.v.,NA,at least 60 min
29101518,UMIN000012536,50,bevacizumab,i.v.,NA,at least 30 min
29101518,UMIN000012536,50,erlotinib,oral,NA,NA
28760399,UMIN000012883,55,tas-102,oral,NA,NA
28760399,UMIN000012883,55,bevacizumab,i.v.,NA,NA
28391576,NCT01660360,56,tanibirumab,i.v.,NA,NA
27943153,NCT00867321,57,sorafenib,oral,NA,NA
27943153,NCT00867321,57,bevacizumab,i.v.,NA,NA
27872953,NA,62,afatinib,oral,NA,NA
27872953,NA,62,paclitaxel,i.v.,NA,NA
27872953,NA,62,bevacizumab,i.v.,NA,NA
27457310,NA,68,crlx101,i.v.,NA,NA
27457310,NA,68,bevacizumab,i.v.,NA,NA
27085994,NCT01183663,71,lenalidomide,oral,NA,NA
27085994,NCT01183663,71,bevacizumab,i.v.,NA,NA
27198170,NCT01283048,73,buparlisib,oral,NA,NA
27198170,NCT01283048,73,bevacizumab,i.v.,NA,NA
26933802,NA,74,bevacizumab,i.v.,NA,NA
26933802,NA,74,temsirolimus,i.v.,NA,NA
26933802,NA,74,cetuximab,i.v.,NA,NA
26581401,NA,78,irinotecan,i.v.,NA,NA
26581401,NA,78,leucovorin,i.v.,NA,NA
26581401,NA,78,5-fluorouracil,i.v.,NA,NA
26581401,NA,78,bevacizumab,i.v.,NA,NA
26581401,NA,78,sorafenib,oral,NA,NA
26272806,NCT00904839,79,oxaliplatin,i.v.,NA,NA
26272806,NCT00904839,79,leucovorin,i.v.,NA,NA
26272806,NCT00904839,79,5-fluorouracil,i.v.,NA,NA
26272806,NCT00904839,79,nintedanib,oral,NA,NA
25363205,NA,86,sorafenib,oral,NA,NA
25363205,NA,86,bevacizumab,i.v.,NA,NA
25080061,UMIN000006937,87,s-1,oral,NA,NA
25080061,UMIN000006937,87,oxaliplatin,i.v.,NA,NA
25080061,UMIN000006937,87,radiotherapy,radiation,NA,NA
25080061,UMIN000006937,87,bevacizumab,i.v.,NA,NA
24875133,NA,99,decitabine,i.v.,NA,NA
24875133,NA,99,pegylated interferon,sc,NA,NA
24413064,ACTRN12610000924055,103,panobinostat,oral,NA,NA
24413064,ACTRN12610000924055,103,azacitidine,sc,NA,NA
24138944,NCT00861874,104,decitabine,i.v.,NA,NA
24138944,NCT00861874,104,rapamycin,oral,NA,NA
23798029,NCT01130662,106,decitabine,i.v.,NA,NA
23798029,NCT01130662,106,midostaurin,oral,NA,NA
23789936,NA,107,rigosertib,oral,NA,NA
21901396,NA,108,erlotinib,oral,NA,NA
21901396,NA,108,5-azacytidine,i.v.,NA,the protocol was amended for subcutaneous (SC) administration for cohorts 4 and 5.
21576646,NA,109,azacitidine,sc,NA,first 7 days of cycle 1
21576646,NA,109,azacitidine,oral,NA,from cycle 2
23172636,NCT00715793,112,decitabine,i.v.,NA,NA
23172636,NCT00715793,112,temozolomide,oral,NA,NA
22033493,NCT00890929,113,azacitidine,i.v.,NA,NA
22033493,NCT00890929,113,lenalidomide,oral,NA,NA
20456354,NA,114,decitabine,i.v.,NA,NA
20456354,NA,115,decitabine,i.v.,NA,NA
14604977,NA,116,decitabine,i.v.,NA,NA
10830142,NA,117,cisplatin,i.v.,NA,NA
10830142,NA,117,decytabine,i.v.,NA,NA
10492074,NA,118,fazarabine,i.v.,NA,NA
20564122,NA,119,decitabine,i.v.,NA,NA
20564122,NA,119,carboplatin,i.v.,NA,NA
33963476,"EudraCT 2009-016080-11, Dutch Trial Register NTR2391",122,bevacizumab,i.v.,NA,NA
33963476,"EudraCT 2009-016080-11, Dutch Trial Register NTR2391",122,irinotecan,i.v.,NA,NA
33963476,"EudraCT 2009-016080-11, Dutch Trial Register NTR2391",122,erlotinib,oral,Tablet,NA
33777754,ChiCTR1900021555,123,cisplatin,HIPEC,NA,NA
33616416,NCT01852409,124,bevacizumab,intraperitoneal,NA,NA
34164713,NCT01749384,125,tivantinib,oral,NA,NA
34164713,NCT01749384,125,bevacizumab,i.v.,NA,NA
15205668,NA,135,amifostine,i.v.,NA,Amifostine solutions were prepared in polyvinyl chloride (PVC) bags at concentrations ranging from 5 to 400 mg/mL.
15205668,NA,135,melphalan,i.v.,NA,NA
15205668,NA,135,autologous hematopoietic stem cell transplantation,NA,NA,NA
8855989,NA,136,cyclophosphamide,i.v.,NA,NA
8855989,NA,136,doxorubicin,i.v.,NA,NA
8855989,NA,136,etoposide,i.v.,NA,NA
8855989,NA,136,filgastrim,sc,NA,self administration
8855989,NA,136,ciprofloxacin,NA,NA,NA
8855989,NA,136,fluconazole,NA,NA,NA
8855989,NA,136,acyclovir,NA,NA,NA
8519675,NA,137,epirubicin,i.v.,NA,NA
8519675,NA,137,vinorelbine,i.v.,NA,NA
8652277,NA,138,vinorelbine,i.v.,NA,NA
8652277,NA,138,epirubicin,i.v.,NA,NA
8261569,NA,139,doxorubicin,i.v.,liposome-encapsulated,NA
2313718,NA,140,4'-iodo-4'-deoxydoxorubicin,i.v.,NA,NA
8612318,NA,143,ifosfamide,NA,NA,NA
8612318,NA,143,epirubicin,i.v.,NA,NA
7529516,NA,144,cyclophosphamide,i.v.,NA,NA
7529516,NA,144,levofolinic acid,i.v.,NA,NA
7529516,NA,144,5-fluorouracil,i.v.,NA,NA
7529516,NA,144,epidoxorubicin,i.v.,NA,NA
7529516,NA,144,g-csf,sc,NA,NA
7954234,NA,147,doxorubicin,hepatic artery infusion,NA,NA
7954234,NA,147,verapamil,hepatic artery infusion,NA,NA
8070013,NA,148,cyclophosphamide,i.v.,NA,NA
8070013,NA,148,epirubicin,i.v.,NA,NA
8070013,NA,148,5-fluorouracil,i.v.,NA,NA
8070013,NA,148,tamoxifen,oral,NA,NA
8070013,NA,148,adr529,i.v.,NA,NA
8453681,NA,149,doxorubicin,i.v.,NA,NA
8453681,NA,149,prochlorperazine,i.v.,NA,NA
7987997,NA,150,5-fluorouracil,i.v.,NA,NA
7987997,NA,150,leucovorin,i.v.,NA,NA
7987997,NA,150,4'-o-tetrahydropyranyl-doxorubicin,i.v.,NA,NA
1768677,NA,151,doxorubicin,i.v.,NA,NA
1768677,NA,151,interleukin-2,continuous infusion,NA,NA
7636539,NA,152,etoposide,i.v.,NA,NA
7636539,NA,152,vincristine,i.v.,NA,NA
7636539,NA,152,doxorubicin,i.v.,NA,NA
7636539,NA,152,cyclophosphamide,intravenous bolus,NA,NA
7636539,NA,152,prednisone,oral,NA,NA
7636539,NA,152,dexverapamil,oral,NA,NA
7913721,NA,153,paclitaxel,i.v.,NA,continuous iv
8622073,NA,154,doxorubicin,i.v.,NA,IV bolus
8622073,NA,154,cyclophosphamide,i.v.,NA,NA
8523055,NA,157,cyclophosphamide,i.v. bolus,NA,NA
8523055,NA,157,doxorubicin,i.v.,NA,NA
8523055,NA,157,vincristine,i.v.,NA,NA
8523055,NA,157,prednisone,i.v.,NA,NA
8523055,NA,157,granulocyte colony-stimulating factor,NA,NA,NA
7680373,NA,158,methotrexate,i.v.,NA,NA
7680373,NA,158,vinblostine,i.v.,NA,NA
7680373,NA,158,adriamycin,i.v.,NA,NA
7680373,NA,158,cisplatin,i.v.,NA,NA
7680373,NA,158,rhg-csf,sc,NA,NA
8664188,NA,161,epirubicin,i.v.,NA,NA
8664188,NA,161,cyclophosphamide,i.v.,NA,NA
8664188,NA,161,filgrastim,sc,NA,NA
29850984,NA,162,alpelisib,oral,NA,NA
29850984,NA,162,trastuzumab emtansine,oral,NA,NA
1453205,NA,163,n-1-leucyldoxorubicin,i.v.,NA,NA
1310105,NA,165,epirubicin,i.v.,NA,NA
8622023,NA,166,paclitaxel,i.v.,NA,72 hours continuous infusion
8622023,NA,166,doxorubicin,i.v.,NA,72 hours continuous infusion
8622023,NA,166,g-csf,sc,NA,NA
7595726,NA,167,paclitaxel,i.v.,NA,NA
7595726,NA,167,doxorubicin,i.v.,NA,NA
8620409,NA,168,dexverapamil,oral,NA,NA
8620409,NA,168,epirubicin,i.v.,NA,NA
8620409,NA,168,gm-csf,sc,NA,NA
8246030,NA,169,recombinant human granulocytemacrophage colony-stimulating factor,sc,NA,NA
8246030,NA,169,cyclophosphamide,i.v.,NA,fixed dose
8246030,NA,169,doxorubicin,i.v.,NA,fixed dose
8246030,NA,169,fluorouracil,i.v.,NA,fixed dose
1525387,NA,170,liposome-entrapped doxorubicin,i.v.,NA,weekly study
1525387,NA,171,liposome-entrapped doxorubicin,i.v.,NA,21-day bolus
12056705,NA,172,gemcitabine,i.v.,NA,i.v. infusion in 250 ml NS over 30 minutes
12056705,NA,172,oxaliplatin,i.v.,NA,i.v. infusion in 250–500 ml dextrose 5% in water over 2 h following gemcitabine
15937714,NA,173,paclitaxel,i.v.,NA,administered in 500 ml of sodium chloride 0.9% over 1 h.
15937714,NA,173,gemcitabine,i.v.,NA,infused over 30 min diluted in 500 ml sodium chloride 0.9% soon after the administration of paclitaxel.
32147669,NCT02039336,174,dacomitinib,oral,NA,NA
32147669,NCT02039336,174,mirdametinib,oral,NA,NA
20215549,NA,179,mirdametinib,oral,NA,NA
20215549,NA,180,mirdametinib,oral,NA,NA
20215549,NA,181,mirdametinib,oral,NA,NA
11937310,NA,182,gemcitabine,i.v.,NA,administered as a 30-min infusion
11937310,NA,182,5-fu,i.v.,NA,continuous infusion over 14 days
14739041,NA,183,gemcitabine,i.v.,NA,fixed dose
14739041,NA,183,oxaliplatin,i.v.,NA,administered after gemcitabine
11728688,NA,184,gemcitabine,i.v.,NA,NA
11728688,NA,184,radiation treatment,radiation,NA,NA
14758140,NA,185,ifosfamide,i.v. and oral,NA,fixed dose
14758140,NA,185,gemcitabine,i.v.,NA,NA
14758140,NA,185,cisplatin,i.v.,NA,NA
12504047,NA,186,cisplatin,i.v.,NA,NA
12504047,NA,186,gemcitabine,i.v.,NA,NA
12504047,NA,186,concurrent radiotherapy,radiation,NA,NA
15484216,NA,187,gemcitabine,i.v.,NA,NA
15484216,NA,187,dacarbazine,i.v.,NA,fixed dose
12702534,NA,188,vinorelbine,i.v.,NA,NA
12702534,NA,188,gemcitabine,i.v.,NA,NA
12140144,NA,189,gemcitabine,i.v.,NA,NA
12140144,NA,189,concurrent radiotherapy,radiation,NA,NA
16150481,NA,190,gemcitabine,i.v.,NA,NA
16150481,NA,190,topotecan,i.v.,NA,NA
12540024,NA,191,gemcitabine,i.v.,NA,NA
12540024,NA,191,dynamic intensity-modulated radiotherapy,radiation,NA,NA
14533441,NA,192,gemcitabine,i.v.,NA,NA
14533441,NA,192,topotecan,i.v.,NA,NA
11157033,NA,193,radiation,radiation,NA,NA
11157033,NA,193,gemcitabine,i.v.,NA,NA
12003196,NA,194,gemcitabine,i.v.,NA,NA
12003196,NA,194,vinorelbine,i.v.,NA,NA
12201494,NA,195,vinorelbine,i.v.,NA,NA
12201494,NA,195,gemcitabine,i.v.,NA,NA
12201494,NA,195,cisplatin,i.v.,NA,fixed dose
12419757,NA,196,rubitecan,oral,NA,NA
12419757,NA,196,gemcitabine hydrochloride,i.v.,NA,NA
11810040,NA,197,gemcitabine,i.v.,NA,"in 250 ml of normal saline, fixed dose"
11810040,NA,197,leucovorin,i.v.,NA,fixed dose
11810040,NA,197,5-fu,i.v.,NA,fixed dose
11810040,NA,197,cyclophosphamide,i.v.,NA,NA
33052756,2018-000482-36,198,iadademstat,oral,NA,NA
25977344,NCT01295827,199,pembrolizumab,i.v.,NA,NA
12562660,NA,200,gemcitabine,i.v.,NA,30 min i.vi
12562660,NA,200,oxaliplatin,i.v.,NA,4 h i.v.
15125746,NA,201,gemcitabine,i.v.,NA,NA
15125746,NA,201,radiotherapy,radiation,NA,NA
14533444,NA,202,mitoguazone,i.v.,NA,NA
14533444,NA,202,gemcitabine,i.v.,NA,NA
12881394,NA,205,cisplatin,i.v.,NA,NA
12881394,NA,205,gemcitabine,i.v.,NA,NA
12881394,NA,205,radiotherapy,radiation,NA,NA
11458814,NA,206,topotecan,i.v.,NA,NA
11458814,NA,206,gemcitabine,i.v.,NA,NA
16327288,NA,207,gemcitabine,i.v.,NA,NA
16327288,NA,207,radiotherapy,radiation,NA,fixed dose
11172947,NA,208,mitomycin c,i.v.,NA,bolus injection
11172947,NA,208,gemcitabine,i.v.,NA,continuous infusion
11172947,NA,208,radiotherapy,radiation,NA,NA
15226322,NA,209,gemcitabine,i.v.,NA,NA
15226322,NA,209,radiation therapy,radiation,NA,NA
12394252,NA,210,gemcitabine,i.v.,NA,NA
12394252,NA,210,ifn-a2b,sc,NA,NA
16012794,NA,211,gemcitabine,i.v.,NA,infusion over 30 minutes
16012794,NA,211,mitoxantrone,i.v.,NA,infusion over 15 minutes
15714201,NA,212,conventional radiotherapy,radiation,NA,NA
15714201,NA,212,gemcitabine,i.v.,NA,NA
12182983,NA,213,paclitaxel,i.v.,NA,NA
12182983,NA,213,dexamethasone,i.v.,NA,NA
12182983,NA,213,diphenhydramine,i.v.,NA,NA
12182983,NA,213,ranitidine,i.v.,NA,NA
12182983,NA,213,radiation therapy,radiation,NA,NA
12182983,NA,213,gemcitabine,i.v.,NA,NA
16251868,NA,214,tipifarnib,oral,NA,NA
16251868,NA,214,gemcitabine,i.v.,NA,NA
16251868,NA,214,cisplatin,i.v.,NA,NA
12481889,NA,215,gemcitabine,i.v.,NA,NA
15165093,NA,216,gemcitabine,i.v.,NA,NA
12394268,NA,217,gemcitabine,i.v.,NA,NA
12394268,NA,217,folinic acid,i.v.,NA,NA
12394268,NA,217,5-fu,i.v.,NA,NA
12394268,NA,217,cisplatin,i.v.,NA,NA
14760128,NA,218,pkc412,oral,Capsule,NA
14760128,NA,218,gemcitabine,i.v.,NA,NA
14760128,NA,218,cisplatin,i.v.,NA,NA
12499100,NA,219,gemcitabine,i.v.,NA,NA
12499100,NA,219,nedaplatin,i.v.,NA,NA
12643004,NA,220,paclitaxel,i.v.,NA,NA
12643004,NA,220,gemcitabine,i.v.,NA,NA
12393998,NA,221,gemcitabine,i.v.,NA,NA
12393998,NA,221,paclitaxel,i.v.,NA,NA
15493356,NA,222,topotecan,i.v.,NA,NA
15493356,NA,222,gemcitabine,i.v.,NA,NA
11821464,NA,223,gemcitabine,i.v.,NA,NA
11821464,NA,223,concurrent radiotherapy,radiation,NA,NA
11593051,NA,224,gemcitabine,i.v.,NA,3-h infusion
16222156,NA,225,gemcitabine,i.v.,NA,6 h infusion
16222156,NA,225,cisplatin,i.v.,NA,NA
15380578,NA,226,gemcitabine,i.v.,NA,NA
15380578,NA,226,radiotherapy,radiation,NA,NA
11804180,NA,227,gemcitabine,i.v.,NA,NA
11804180,NA,227,vinorelbine,i.v.,NA,NA
11899362,NA,228,cyclophosphamide,i.v.,NA,NA
11899362,NA,228,gemcitabine,i.v.,NA,NA
15245938,NA,229,rt,radiation,NA,NA
15245938,NA,229,gemcitabine,i.v.,NA,NA
11704320,NA,230,radiation therapy,radiation,NA,NA
11704320,NA,230,amifostine,i.v.,NA,NA
11704320,NA,230,gemcitabine,i.v.,NA,NA
25854284,NCT00839982,241,cytarabine,sc,low dose,NA
25854284,NCT00839982,241,clofarabine,oral,NA,NA
32009149,NCT01514201,242,veliparib,oral,NA,NA
32009149,NCT01514201,242,radiation,radiation,NA,NA
32009149,NCT01514201,242,temozolomide,i.v.,NA,NA
32002547,NCT01120639,243,hypofractionated stereotactic radiosurgery,radiation,NA,NA
32002547,NCT01120639,243,temozolomide,oral,NA,NA
26333381,NCT00993239,246,birinapant,i.v.,NA,infusion more than 30 minutes
28434648,NCT01658878,247,nivolumab,i.v.,NA,without HCV and HBV
28434648,NCT01658878,248,nivolumab,i.v.,NA,HCV
28434648,NCT01658878,249,nivolumab,i.v.,NA,HBV
22648179,NCT00932373,250,trastuzumab emtansine,i.v.,NA,NA
27932068,NA,251,rovalpituzumab tesirine,i.v.,NA,NA
21069335,NCT00684099,1,pemetrexed,i.v.,Injection,NA
21069335,NCT00684099,1,docetaxel,i.v.,Injection,NA
21481618,NA,1,docetaxel,i.v.,Injection,"if in Phase 1b portion, included the use of prednisone 10 mg daily"
21481618,NA,1,satraplatin,oral,Tablet,"if in Phase 1b portion, included the use of prednisone 10 mg daily"
21481618,NA,1,dexamethasone,oral,Tablet,"if in Phase 1b portion, included the use of prednisone 10 mg daily"
21792569,NA,1,docetaxel,i.v.,Injection,NA
21792569,NA,1,prednisolone,i.v.,Injection,NA
21792569,NA,1,re-hedp,i.v.,Injection,NA
22124669,NCT00058253,1,docetaxel,i.v.,NA,"All patients received dexamethasone premedication to reduce the incidence and severity of Xuid
retention or hypersensitivity reactions."
22124669,NCT00058253,1,17-aag,i.v.,NA,NA
23712328,NA,1,oxaliplatin,i.v.,NA,NA
23712328,NA,1,docetaxel,i.v.,NA,NA
22042372,NA,1,gefitinib,oral,NA,NA
22042372,NA,1,trastuzumab,i.v.,NA,NA
22042372,NA,1,docetaxel,i.v.,NA,NA
22999386,NA,1,lapatinib,oral,Tablet,NA
22999386,NA,1,docetaxel,i.v.,Injection,NA
20878160,NA,1,docetaxel,i.v.,Injection,NA
20878160,NA,1,cisplatin,i.v.,Injection,NA
20878160,NA,1,5-fu,i.v.,Injection,NA
20087171,NA,1,docetaxel,i.v.,Injection,NA
20087171,NA,1,ifosfamide,i.v.,Injection,NA
20087171,NA,1,cisplatin,i.v.,Injection,NA
20087171,NA,1,mesna,i.v.,Injection,NA
20087171,NA,1,methylprednisolone,oral,Tablet,NA
20087171,NA,1,methylprednisolone,i.v.,Injection,NA
20087171,NA,1,ondansetron,i.v.,Injection,NA
22989664,NA,1,tpf regimen,i.v.,NA,NA
22989664,NA,1,lap,oral,NA,NA
20530449,NA,1,docetaxel,NA,NA,intraperitoneal
20530449,NA,1,s-1,oral,Tablet,NA
21892109,NA,1,docetaxel,i.v.,Injection,NA
21892109,NA,1,erlotinib,oral,NA,NA
21892109,NA,1,dexamethasone,oral,NA,NA
21075438,NA,1,docetaxel,i.v.,NA,NA
21075438,NA,1,dexamethasone,i.v.,NA,NA
21075438,NA,1,"low-dose whole
abdominal radiation therapy",radiation,NA,NA
20564143,NA,1,docetaxel,i.v.,NA,NA
20564143,NA,1,everolimus,oral,NA,NA
20564143,NA,1,dexamethasone,NA,NA,NA
21327495,NA,1,docetaxel,i.v.,Injection,NA
21327495,NA,1,plinabulin,i.v.,Injection,NA
21327495,NA,1,dexamethasone,oral,NA,NA
22872523,NA,1,motesanib,oral,NA,NA
22872523,NA,2,paclitaxel,i.v.,NA,NA
22872523,NA,3,docetaxel,i.v.,NA,NA
20142723,NA,1,pegylated liposomal doxorubicin,i.v.,NA,NA
20142723,NA,1,docetaxel,i.v.,NA,NA
21439816,NA,1,su-014813,oral,Capsule,NA
21439816,NA,1,docetaxel,i.v.,Injection,NA
