PMID,NCTID,ES,DesignType,schema
28363909,NCT01719380,Escalation,Adaptive Design,"the estimation of the Bayesianlogistic regression model (BLRM), and the escalation with overdosecontrol (EWOC) criteria. The recommended dose for each level was guided by a BLRM The MTD was defined as thehighest combination drug dosage not causing medically unacceptableDLTs in >35% of treated patients in the first cycle.Dose-escalation decisions were basedon data from all evaluable patients, including safety information,DLTs, all grade ≥2 toxicity data during cycle 1, and pharmacokinetics(PK)."
31486207,NCT01816984,Escalation,3 + 3," The dose of buparlisib wasincreased in a standard 3 + 3 dose escalation study design. If all 3 patients were free of any dose limiting toxicities at agiven dose level after 4 weeks of active treatment, the doseescalation continued to the subsequent increased dose."
33386556,NA,Escalation,3 + 3,"Initially, three patients were set to receive therapy at doselevel 1 (irinotecan 120 mg/m2). If a DLT occurred, additional three patients were accrued at the same dose level.If none of the frst three patients or less than two of thesix patients exhibited dose-limiting toxicity (DLT), then irinotecan was escalated to dose level 2. If two or more DLTsoccurred, irinotecan was reduced to dose level 0. If noneof the frst three patients experienced a DLT at dose level 2, three additional patients were accrued at the same doselevel. At least six assessable patients at the MTD or RP2Dwere needed to accurately estimate these doses. The MTDwas defned as the dose level at which two or more DLTsoccurred. The RP2D was defned as the dose level immediately below the dose at which the MTD was observed. If theMTD was not reached at dose level 2, then dose level 2 wasselected as the RP2D."
29038850,UMIN 000009144,Escalation,3 + 3,"The dose was escalated if no DLT occurred in the first 3patients, or in fewer than 2 of 6 patients. The maximum tolerated dose (MTD) was defined as the dose level associatedwith DLT in at least 2 of 3, or 2 of 6 patients. "
31053600,2302495,Escalation,rule-based design,"In this dose escalation study, 6 patients were to be included percohort.If <=2 DLTs were observed at a dose level, 6 patients weresubsequently enrolled at the next dose level. If >2 DLTs wereobserved at a dose level, the previous dose level was identified asthe MTD."
26384354,NCT01464034,Escalation,3 + 3,"A standard 3 1 3 dose-escalation schedule was used in the study, starting atcohort 1 with up to 4 sequential dose-escalating cohorts and/or 3 dosede-escalating cohorts with 3 to 6 patients in each cohort. If fewer than 24 patientswere enrolled during the dose-escalation phase, additional patients were to beenrolled into the trial at the MTD, with up to a maximum of 30 patients evaluablefor toxicity. "
27207788,NCT01677858,Escalation,3 + 3, used a 3 1 3 dose-escalation scheme to determine the maximum tolerated dose(MTD) of carfilzomib
28280091,NCT00501410,Escalation,3 + 3,Using a 3 þ 3 design
32053229,NCT01962792,Escalation,3 + 3,Not mentioned
30084837,NA,Escalation,Bayesian,"TITE-CRM The relationship between dose and toxicity wasmodeled using a single-parameter (a) logistic regression functionwith the prior distribution of a set to be N (1, s2), using s ¼ 0.3.The posterior distribution of the probability that a future patientwould experience a DLT at a given dose was calculated at the timeof enrollment for each patient using the prior distribution andavailable data from all patients at that time. Patients who had notexperienced a DLT and had not yet completed the observationperiod were given a partial weight using a convex weightingfunction to down-weight the early observation period for whichthe probability of a DLT is lower than in later follow-up. Tomaximize safety, the starting dose was initiated at dose level 2(50 mg, compared with the FDA-approved single agent dose of400 mg twice daily at the time) to allow for a conservativeprogression through dose levels while allowing for the possibilityof decreasing the dose should one of the early patients experience a DLT. The trial used a run-in period of 5 patients, and doseescalation was restricted to not escalate more than 1 dose level at atime. The TITE-CRM was implemented using version 8 ofthe TITE-CRM macro developed by the Biostatistics Unit of theUniversity of Michigan Comprehensive Cancer Center(Ann Arbor, MI). This macro was run using SAS software, versions9.3 and 9.4 (SAS Institute). At the conclusion of the trial, the doselevel that has the probability of a DLT closest to the target rate of15% without exceeding 20% was declared to be the MTD"
28422758,NCT02095054,Escalation,3 + 3," standard 3+3 trial design Three patients were enrolled at the same dose level; if none of them experienced DLT, the next cohort of 3 patients was treated at the next higher dose level. If 1 of 3 patients treated at a dose level experienced DLT, 3 more patients were enrolled at the same dose level. If no other patient experienced DLT, the next cohort of 3 patients was enrolled at the next higher dose level. If 2 or more patients treated at a dose level experienced DLT, the MTD was considered to have been exceeded. In that case, 3 more patients (for a total of 6) were enrolled at the next lower dose level unless 6 patients had already been treated at that dose. In summary, the MTD was defined as the highest dose studied in which the incidence of DLT was less than 33%No patients were enrolled in the next dose level until 3 patients enrolled at the previous dose level had completed at least 1 cycle of therapy. If a DLT was observed in a patient, dose escalation did not proceed until a total of 6 patients in the cohort had been assessed for toxicity after 1 cycle"
33203645, NCT01960023,Escalation,3 + 3,"A standard 3þ3 design was utilized to determine the safety,tolerability, and RP2D of neratinib combined with full-dose cetuximab"
30327312,NCT02350712,De-escalation,rule-based design,"6+3 dose deescalation designSix to 9 patients were expected to betreated at the first dose levels [fewer than 6 if 3 or more patientsexperienced a dose-limiting toxicity (DLT), in accordance with a6þ3 dose deescalation design]. If 1 of the first 6 DLT-evaluablepatients experienced a DLT after all patients completed the DLTobservation period (i.e., the first treatment cycle), the current dose of patritumab was defined as the MTD and thus the recommendedphase II dose. However, if 2 of the first 6 patients experienced aDLT, then the cohort was expanded to 9 patients at the same doselevel; if 2 of those 9 patients experienced a DLT, that current doseof patritumab was defined as the recommended phase II dose. If3 patients experienced DLTs at any dose level, the MTD wouldhave been exceeded and a lower patritumab loading dose (basedon safety and pharmacokinetic data) could have been explored. Ifthe patritumab 18 mg/kg loading dose level was not tolerated onthe basis of observations of DLTs, for subsequent patients a lowerloading dose of patritumab (15 mg/kg) and 9 mg/kg maintenancedose would have been administered in combination with cetuximab plus cisplatin or carboplatin every 3 weeks"
30941307,NCT02429089,Escalation,3 + 3," 3 + 3 dose escalation design three patients were enrolled per dose level and intra-patient dose escalation was not permitted. If zero out of three patients experienced a dose limiting toxicity (DLT), the dose was escalated to the next dose level. When one out of three patients experienced a DLT, three additional patients had to be included. In the event that two out of three or six patients experienced a DLT, dose escalation had to be stopped. The MTD was defined as the dose below the dose level at which two patients out of three or six experienced DLTs. "
27009059,NCT00461045,Escalation,3 + 3,"Within acohort, if 1 out of 3 patients experienced a DLT, the cohort was increased to 6patients. If no more than 1 out of 6 patients experienced a DLT, then the next dosewas evaluated. If $2 patients in a cohort of 3-6 patients experienced a DLT, thenthe MTD had been exceeded and further accrual was at the previous dose; if thisdose resulted in 0 of 6 patients without DLT, an interim dose could be attempted.The MTD or a lower dose could be selected as an RP2D depending upon safety,PK, and pharmacodynamic data."
24904120,NCT00963820,Escalation,3 + 3,3+3
34668982,NA,Escalation,3 + 3,3+3
25784682,NCT01279694,Escalation,rule-based design,"A standard 6 + 6 dose-escalation scheme was used to determine the MTDof carfilzomib in the CMP regimen. Six patients were treated at each carfilzomibdosing level; if #1 DLT was observed at a dosing level, an additional 6 patientswere subsequently enrolled at the next-highest dosing level. If $2 DLTs wereobserved at a single dosing level, the previous dosing level was identified as theMTD. "
25225420,NCT00531284,Escalation,3 + 3,3+3
32545260,NCT02277197,Escalation,Adaptive Design,"The primary objective of this Phase I study was to find the RP2D. The dose-finding study followedan adaptive, escalation–de-escalation, Narayana k-in-a-row design, with k set to 2 to target a 33%dose-limiting toxicity (DLT) rate [46]. This method was selected based on the superiority of its operatingcharacteristics compared to other adaptive or rule-based designs (such as 3 + 3). Dose tiers are specifiedin Figure 1A. RP2D would be declared as the dose of ficlatuzumab that is close to but does not exceed a33% DLT rate when administered with a standard, fixed dose of cetuximab. In the dose-finding phase,a total of either 8 or 14 patients would be treated. If no DLTs were observed among the first 8 patients(2 + 6 on Tiers 1 and 2), the upper 90% confidence bound for the estimated DLT rate at the highest dosetier would be 0.32 and less than the targeted toxicity rate of 0.33, thus Tier 2 would be declared theRP2D. If a DLT was observed at any time among the first 8 patients, then the escalation–de-escalationrules would be triggered and 14 DLT-evaluable subjects accrued. An intermediate tier (Tier 1.5) wouldbe accrued only in the event that a DLT was observed and escalation–de-escalation required. After theenrollment of 14 patients to Tiers 1, 1.5, and 2, the RP2D would be estimated from DLTs across all doselevels by isotonic regression"
28618305,NA,Escalation,3 + 3,3+3
34322775,NCT02822482,De-escalation,3 + 3,Dose escalation followed a 3+3 design;A dose level -1 with copanlisib given at the dose of 30 mg was planned if needed.
27289242,NA,Escalation,3 + 3,3+3
27311401,NA,Escalation,3 + 3," 3+3 design was employed. Three patients were enrolled perdose level, expanded to 6 if 1 of 3 developed a DLT. If 0 of 3 patientswithin a dose level developed a DLT, the dose was escalated; if P2of 6 within a dose level developed a DLT, the dose below was considered the MTD. DLT and MTD were assessed during cycle one. If aMTD was not established at the maximum dose level, the latterwas the recommended phase II dose of palbociclib. Six patientswere enrolled at the recommended phase II palbociclib dose"
28600476,NCT01482377,Escalation,3 + 3,NA
27729313,NCT01787500,Escalation,3 + 3,3+3
27810904,NCT01836029,Escalation,3 + 3,3+3
25683772,NA,Escalation,3 + 3,The study utilized a standard 3 + 3 dose-escalation
34251048,NCT01755975,Escalation,3 + 3,3+3
31005227,NA,Escalation,3 + 3,NA
31005227,NA,Escalation,3 + 3,3+3
32335709,NA,Escalation,3 + 3,one dose level
28054329,NA,Escalation,Adaptive Design,"This study employed a two-stage approach to dose escalation based on a set of pre-specified discrete doses: 15, 30, and60 mg/m2 for the first stage and 80, 100, 130, 170, and225 mg/m2 for the second. In the first stage, one patient wasassigned to each of these regimens and the dose was escalatedto the next level when no DLTs were observed. In the secondstage, a Bayesian continual reassessment model (CRM) wasapplied, which used a single parameter logistic model with theintercept fixed to −3. At least two patients were assigned toeach regimen in the second stage. If a patient could not complete the first cycle for reasons other than a DLT, they wereexcluded from evaluation and a new patient was enrolled toreceive the same dose. When two or more patients completedthe current regimen without any significant safety issues,Bayesian CRM simulations were carried out to estimate theDLTs based on the safety data obtained up to that time point. Atwo-parameter gamma distribution model with scale andshape parameters equal to one was assumed for the prior distribution of DLTs.Higher doses in the predetermined serieswere administered when they were (i) the best current estimate308 Invest New Drugs (2017) 35:307–314of the MTD (i.e., yielding a DLT incidence closest to 33%)and (ii) the probability of causing DLTs in more than half thestudy patients was estimated to be less than 20%."
32122924,NCT02889523,Escalation,3 + 3,"Patients were recruited in four LYSA centers and enrolled using3 þ 3 patients per dose level (starting at 400 mg twice a day)algorithm to identify the MTD and determine RP2D of tazemetostatplus R-CHOP.If 0 of 3, or 1 of6 patients demonstrated DLT(s), then enrollment proceeded to thenext dose level. If 2 patients in any cohort demonstrated a DLT(s)during cycle 1 or 2, enrollment stopped and dose escalation wasdiscontinued. The dose would have been reduced to the previouslycompleted dose level for which no more than 1 DLT had beenobserved. The highest dose level resulting in one or less of 6 patientswith DLTs was considered as the MTD/RP2D."
32381487, NCT03168061,Escalation,Adaptive Design,"A Bayesian N-CRM model was applied, wherein model-basedestimates of the probability of a DLT were classified into four mutuallyexclusive categories: underdosing: p2 (0, 0.20], targeted toxicity:p2 (0.20, 0.33], excessive toxicity: p2 (0.33, 0.60], unacceptabletoxicity: p2 (0.60, 1.00] (7).The dose-response relationship was estimated through a twoparameter logistic regression model, wherein the log odds of theprobability of DLT at dose i was modeled as a simple linear equationusing the adjusted dose strength of dose di: ln (di/dr)ln Pi1  Pi  ¼ aþ b ln didr where Pi is the probability of toxicity at dose level i; di is the dose in mgat level i; dr is the reference dose, which is defined as median dose in thisstudy; a is the logit of toxicity at the reference dose; b is the parameterto determine the slope of the curve. An informative bivariate normalprior for the model parameters [a, log(b)] was obtained. On the basisof preclinical data and complete clinical studies, the starting dose forNC-6300 was determined to be 125 mg/m2, and subsequent dosesincluded 150, 170, 185, 200, 215, and 230 mg/m2. The median dose of185 mg/m2 was selected as reference dose for the prior. A noninformative prior was selected per the methods of Neuenschwander andcolleagues (2008; ref. 7).The probability of an unacceptable toxicity at the lowest dose wastaken to be 5% and the probability under dosing at the highest dose wastaken to be 5%. Assuming minimally informative unimodal betadistributions for each dose, prior median toxicities were estimated, for the lowest and highest doses. Median toxicities for the interveningdoses were assumed to be linear in log dose on the logit scale. Theuninformative prior was generated by FACS. All modeling andcalculations were done with SAS (version 9.4) IML software.Following a single-subject run-in at the 125 mg/m2 dose, subjectswere enrolled sequentially in cohorts of n ¼ 4. The study was designedto stop when: seven cohorts had completed, or two cohorts had beentreated at the MTD, or no dose level assured posterior probability ofexcessive or unacceptable toxicity at ≤ 25%.icity that assured posterior probability of excessive or unacceptabletoxicity at ≤ 25% was determined to be the MTD. Analyses of allendpoints were conducted using the safety analysis set (defined as allsubjects enrolled and who received ≥ one dose of NC-6300). Descriptive statistics were used to summarize select demographic and safetydata"
31675535,NCT00856037,Escalation,3 + 3,used a 3+3 doseescalation scheme
26903311,NCT00878904,Escalation,3 + 3,"phase I study with a 3 + 3 dose-escalation design,"
33219014,NCT02779855,Escalation,3 + 3,3+3
29856514,NA,Escalation,3 + 3,"a standard 3 + 3 design, with upto six patients being enrolled on each dose level"
27403082,NCT00878800,Escalation,3 + 3,"Completion of 6 cycles of belinostat/doxorubicin wasconsidered the standard trial duration for each patient.Patients who achieved clinical benefit from the treatment(objective response or stable disease) could continue belinostat treatment beyond cycle 6. If the maximum cumulativedose of doxorubicin 450 mg/m2 was reached, the treatmentwould continue with belinostat as monotherapy. In the phaseI part, at least 3 patients were treated at each dose level. If aDLT was found in one of 3 patients, the cohort was expandedto a total of 6 patients. "
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902 ,Escalation,rule-based design," ACCEPT incorporates an initial 6+6 modified Phase I design of up to 24 participants followed by 15 participant single arm Phase II expansion cohort in treatment naive patients with histologically confirmed DLBCL expressing CD20.  A six participant cohort design is employed to maximise patient safety13, which will result in 6–24 participants recruited  6 participants	0 DLTs	If cohort 1: proceed to the next cohort and escalate doseIf cohort 2: RP2D is established as this dose6 participants	1–2 DLTs	If cohort 1 or 2: Expand cohort to include up to 12 evaluable patients and re-evaluate6 participants	≥ 3 DLTs	If cohort 1: Dose will be considered non-tolerated dose (NTD)No further recruitment to this cohort and dose escalation will ceaseIf cohort 2: The RP2D will be defined as the dose in the previous cohort or further assessment may berequired of an intermediate dose12 participants	1–2 DLTs	If cohort 1: dose escalation may occur by proceeding to the next cohort, at the safety committee’s discretionIf cohort 2: RP2D may be established at this dose, at the safety committee’s discretion12 participants	≥ 3 DLTs	If cohort 1: Dose will be considered non-tolerated dose (NTD)No further recruitment to this cohort and dose escalation will ceaseIf cohort 2: The RP2D will be defined as the dose in the previous cohort or further assessment may berequired of an intermediate dose"
33602316,NCT01839097,Escalation,3 + 3,NA
29055839,NA,Escalation,Fibonacci schedule," The dose escalation scheme was based on amodified Fibonacci schedule. Three patients entered ateach dose level (DL), which could be extended to amaximum of 6 in case of dose-limiting toxicity (DLT). Iftwo DLTs were observed at a given DL, the dose wasdeclared the MTD, and no further dose escalationoccurred. The MTD was determined according to theDLTs occurring during the first treatment cycle (3weeks)"
33474828,NCT02677116,Escalation,NA,not specified
32055930,NCT01145430,Escalation,3 + 3,3+3
27255289,NA,Escalation,3 + 3,"If none of the initial three patients treated at the 20 mg/m2 dose level experienced a DLT during the first treatmentcycle, escalation to the second planned S-1 dose level wasto be permitted. If a DLT was observed in one of the firstthree patients treated, then a maximum of three additionalpatients were to be enrolled at the same dose level. If noadditional DLTs were seen after all six patients completedthe first cycle of treatment, dose escalation was to bepermitted. If a DLT was observed in one of three patientsof any cohort, the investigator had to wait until all threepatients had completed the DLT evaluation period beforeenrolling additional patients at the same dose level, and hadto wait until 30 days after all patients at a particular doselevel had completed the DLT evaluation period beforeescalating the dose. Intrapatient dose escalation was notallowed. If two or more patients treated at a particular doselevel developed a DLT, then dose escalation ceased and theprevious dose was considered to be the MTD. At least sixpatients in total were to be treated at a particular dose levelbefore it was defined as the MTD, with no more than one ofthe six patients experiencing a DLT. Once the MTD wasestablished, up to six additional patients (a total of 12patients) were to be treated at the MTD level to comprehensively explore tolerability before recommending it asthe dose to be further evaluated in clinical studies."
29174203,NA,Escalation,3 + 3,3+3
27577069,NCT01176799,De-escalation,3 + 3,NA
31772119,NCT01902225,Escalation,3 + 3,"3+3The dose-escalation portion of the study employed a standard “3plus 3” design to assess safety with standard dose-escalation rules. Ifone or fewer DLTs occurred at a dose level, then enrollment continuedat the next dose level. If two or more DLTs occurred at the first doselevel (cohort 1, romidepsin 8 mg/m2), a subsequent dose level would beexplored at 6 mg/m2 of romidepsin (dose level 1). If two or more DLTsoccurred at dose level 1, the trial would be stopped. The MTD wasdefined as the dose level immediately prior to the dose level resulting in2 or more DLTs."
29104762,NCT01655693,Escalation,3 + 3,NA
32601796,NA,Escalation,3 + 3, a 3 + 3 design
30361524,NCT01304797,Escalation,3 + 3,3 + 3 dose escalation design
33095287,NCT01606878,Escalation,3 + 3,3+3MTD was the highest dose at which fewer than one-third of the patients experienced a DLT during cycle 1 of therapy.
33095287,NCT01606878,Escalation,3 + 3,3+3
28718812,NCT02562378,Escalation,3 + 3,The trial employed a standard “3 plus 3” dose-escalation design with a dose-expansion cohort at the MTD.
29903707,NCT01622439,Escalation,3 + 3,a 3 + 3 design
30850381,NCT02055820,Escalation,3 + 3,"Venetoclax dose escalation was under a modified 3+3 design, with at least 3 patients per arm enrolled into each cohort. A 6-week (ie, 2-cycle) observation period was allowed for evaluation of dose-limiting toxicities (DLTs). If none of the first 3 evaluable patients experienced a DLT, the next dose cohort was opened. If a DLT was observed in 1 patient, additional patients were enrolled at that dose level until at least 6 evaluable patients had completed the DLT observation window or a second DLT occurred. If no additional DLTs were reported, the next dose could be evaluated. If an additional DLT was observed after cohort expansion, further enrollment on that dosing schedule was halted and that dose was either declared as exceeding the maximum tolerated dose (MTD) or a different dosing regimen was implemented, in which case dose escalation could resume."
16870542,NA,Escalation,3 + 3,"A minimum cohort of 5 patients was to be entered at each DL. If 1 case of dose limiting toxicity (DLT) was encountered among these 5 patients, 5 additional patients were to be entered for treatment at the same DL. Dose escalation continued if no DLT was found in these first 5 patients included at each level; or if DLT was observed in only 1 or 2 of 6 patients."
16179099,NA,Escalation,3 + 3,"A minimum cohort of 3 patients was to be entered at each DL. If 1 case of dose-limiting toxicity (DLT) was encountered among these 3 patients, 3 additional patients were to be entered for treatment at the same DL. Dose escalation continued if no DLT was found in these first 3 patients included at each level or if DLT was observed in only 1 or 2 of 6 patients."
12655441,NA,Escalation,Adaptive Design,Dose escalation was based on the continual reassessment method (CRM) modified by Faries [2] according to pre-established dose levels
12649112,NA,Escalation,rule-based design,"If only one out of three patients experienced a DLT, a further three patients were entered at the same dose level; if, however, no further DLT was experienced by the additional patients dose escalation was continued. Conversely, if two out of the first three patients or three out of the six patients experienced DLT an additional three patients were treated on the preceding lower dose. The MTD was defined as the dose at which either two out of three or three out of six patients experienced DLT after the first administration of vinflunine."
15809877,NA,Escalation,3 + 3,"If DLT occurred in one of three patients at a given dose level, an additional three patients were treated at the same dose level. If dose escalation proceeded to dose level 3 and no DLT occurred, then nine additional patients would be enrolled at that dose. If DLT occurred in two of six patients, the next lower dose would be the recommended dose for future phase II studies and an additional nine patients would be enrolled."
16211365,NA,Escalation,rule-based design,"If no patient experienced toxicity, treatment would be escalated to the next dose level; if 1 patient out of 3 experienced dose limiting toxicity (DLT), an additional 3 patients were to be treated at the same dose level and escalation only undertaken if no more than 2/6 experienced DLT; if 3 out of 6 patients experienced DLT, the MTD was considered to have been reached and a further 3 patients were to be treated at the preceding lower dose level."
16937306,NA,Escalation,rule-based design,"Three patients were treated initially at the starting dose level. If no patients experienced a DLT, the dose of vinorelbine was to be escalated. If one or two patients experienced a DLT, three additional patients were to be enrolled at the same dose level. If one or two of the six patients experienced a DLT, dose escalation was to be continued. If three or more patients experienced a DLT, that dose was to be considered as the MTD. The recommended dose was defined as the dose that immediately preceded the MTD."
14984944,NA,Escalation,3 + 3,NA
15122074,NA,Escalation,3 + 3,NA
31959492,NA,Escalation,3 + 3,"DLTs encountered during Cycle 1 or 2 prompted expansion to 6 patients. If no more than 1 DLT occurred in a 3–6 patient cohort, escalation proceeded to the next level (Supplementary Table 1). If >1 of 6 patients experienced a DLT (or there were safety concerns), the preceding cohort dosage was considered the MTD. The primary investigator had the option to expand a cohort to 6 patients if there were safety concerns in the absence of a DLT."
7664282,NA,Escalation,3 + 3,"The primary objectives of the Phase I trial were (a) to define the acute toxicities and the MTD of amifostine in children receiving an i.v. dose administered over 15 min; and (b) to determine if amifostine adminis tration before i.v. melphalan allowed for dose escalation of melphalan beyond 35 mg/m2. A minimum of three patients evaluable for toxicity were treated at each dose level. The starting dose of amifostine was 750 mg/m2 (80% of the adult recommended dose) with dose escalations in increments of 30%, rounded to the nearest 50 mg. If no acute dose-limiting toxicity as defined below, was observed in a cohort of three patients, the amifostine dose was escalated to the next higher dose level. It acute dose-limiting toxicity was observed in one of three patients, three additional patients were studied at that dose level. The highest dose of amifostine tolerated by three of three or by five of six patients in the appropriate cohort was defined as the amifostine MTD. Toxicity was graded according to the National Cancer Institute-Cancer Therapy Evaluation Program (CTEP) common toxicity criteria.The starting dose for melphalan was 35 mg/nr. the previously defined MTD in heavily pretreated pediatrie patients, with planned escalations to 45 and 60 mg/m2. Attempts were made to escalate the dose of melphalan when a cohort of three patients pretreated with the same dose of arnifoslinc did not experience dose-limiting mvelosuppression."
29500276,NCT01696032,Escalation,3 + 3,"In the presence of 1 DLT in 6 patients of the starting dose cohort, the cohort was to enroll 6 more patients at the same dose level. In the event that 2 or more DLTs occurred at the starting dose cohort, the next lower dose level of 30 mg/m2 was to be evaluated. The MTD was prespecified as the highest guadecitabine dose level (30–60 mg/m2 daily on Days 1–5) in combination with carboplatin at which no more than 1 of 6 patients or 2 in 12 experienced a DLT. Once the MTD was established, a total of 14 patients were to be treated at that dose and assessed for response."
29348128,NCT01814826,Escalation,3 + 3,"Dose escalation was performed using continual reassessment method (CRM), which used noninformative β priors with a target DLT rate of 25%. The MTD was determined to be the highest dose level at which at least 6 patients were dosed (at any dose level) and the CRM algorithm did not recommend escalation or de-escalation. "
28881739,NCT00748553,Escalation,3 + 3,"The standard 3+3 design was used for the dose escalation phase. Patients were accrued to each dose level in cohorts of up to 3-6 patients. Escalation continued until a dose limiting toxicity (DLT) was observed or the highest dose-level was reached. Patients were enrolled in cohorts of three and no intra-patient dose escalation was allowed. The DLT period was defined as the first four weeks of treatment. If two or more DLTs were observed then the maximal tolerated dose was been exceeded. If none of the 3 subjects experience a DLT then subsequent patients are enrolled into the next higher dose level. If one patient had a DLT then that dose cohort was expanded to six subjects. If only one of the six patients had a DLT then subsequent patients will be enrolled at the next higher dose level. If two of three or six patients had a DLT then the MTD had been exceeded and the lower dose level would be evaluated to define the MTD. Dose reductions were required for any patient with a DLT assessed after the DLT period of four weeks or at the discretion of the investigator if he/she felt the reduction was in the patient's best interest.If a patient did not complete one cycle of therapy, for reasons other than a DLT, a replacement subject was added to the same cohort level."
28881728,ACTRN12610001031055,Escalation,3 + 3,"The everolimus dose was escalated in a standard 3 × 3 study design to determine the MTD. The cohort doses of everolimus examined were 2.5, 5 and 10 mg with no intra-patient dose escalation permitted; the dosage was capped at 10 mg as this was the established dose used in the treatment of solid cancers [49]. After establishment of the MTD, a dose expansion group was included to better estimate the tolerability of this dose and to provide preliminary assessment of efficacy. "
28555084,NCT01729845,Escalation,3 + 3,"Maximum tolerated dose (MTD) was defined as the highest dose studied in which the incidence of DLTs was <33% (2/6 of each patient cohort). To better define safety and initial evidence of anti-leukemic activity, any dose level cohort could be expanded up to 12 patients, provided that ≤2/6 patients had DLT at that dose level."
28546581,NA,Escalation,Bayesian,"Dose reductions or interruptions of PAN and AZA were permitted, but the PAN dose was not to decrease below 10 mg, and no cycle could be extended longer than 42 days. Patients were evaluated for dose-limiting toxicities (DLTs), and dose escalation was guided by an adaptive Bayesian logistic regression model (BLRM). The MTD could not be declared until ⩾9 patients were evaluated at that dose level."
27542211,NCT01193517,Escalation,3 + 3,NA
26055299,NCT00986804,Escalation,3 + 3,"The primary goal was to determine the maximum tolerated dose (MTD) of decitabine, defined as the maximum dose at which ≤25% of patients experience DLT during the first cycle of treatment.Patients who met criteria for DLT started second cycle at one level dose reduction. Patients with inadequate counts 6 weeks after a previous cycle had their next cycle delayed by maximum of 2 weeks. Each cohort could contain 4 or 8 evaluable patients until MTD or a dose of 15 mg/m2/day were reached. Patients with documented progressive disease were removed from the study.Dose adjustments:0/4 DLT observed: current dose is acceptable, proceed with dose escalation.1/4 DLT observed: enroll additional 4 patients at the same dose-level. If there is 1/8 DLT observed then the current dose is acceptable and escalated; if there are ≥ 2/8 DLTs then the current dose is deemed over-toxicity and the previous dose is considered MTD.≥2/4 DLT observed: current dose is deemed over-toxicity and the previous dose level is considered MTD."
25806091,NCT01039155,Escalation,3 + 3,A ‘3 + 3’ dose escalation study design was used. The MTD was defined as the highest dose at which six subjects were treated with at most one subject experiencing a DLT. 
25483416,NA,Escalation,3 + 3,"The MTD was defined as the dose level at which fewer than two of six patients experienced first-course DLT. Dose escalation was designed to proceed until the MTD or the 1000 mg/m2 dose level of belinostat was reached. Toxicities and Adverse Events (AE) were graded according to the National Cancer Institute Common Toxicity Criteria for Adverse Events, versions 3.0 and 4.0 (after January 1, 2011)."
