PMID,NCTID,CombnID,Drug_Name,Dose_Level,Dose_Value,Dose_Unit,Frequency,Schedule,Comments
27853996,NCT01451632,4,cetuximab,4,250,mg/m2,1,weekly,NA
27853996,NCT01451632,5,seribantumab,1,20,mg/kg,1,weekly,NA
27853996,NCT01451632,5,cetuximab,1,400,mg/m2,1,loading dose,NA
27853996,NCT01451632,5,cetuximab,1,250,mg/m2,1,weekly,NA
27853996,NCT01451632,5,irinotecan,1,180,mg/m2,1,once every 2 weeks,NA
27853996,NCT01451632,5,seribantumab,2,40,mg/kg,1,loading dose,NA
27853996,NCT01451632,5,seribantumab,2,20,mg/kg,1,weekly,NA
27853996,NCT01451632,5,cetuximab,2,400,mg/m2,1,loading dose,NA
27853996,NCT01451632,5,cetuximab,2,250,mg/m2,1,weekly,NA
27853996,NCT01451632,5,irinotecan,2,180,mg/m2,1,once every 2 weeks,NA
30278378,NCT02020577,7,afatinib,1,30,mg,1,Once per day,NA
30278378,NCT02020577,7,cetuximab,1,250,mg/m2,0,Once per week,NA
30278378,NCT02020577,7,afatinib,2,40,mg,1,Once per day,NA
30278378,NCT02020577,7,cetuximab,2,250,mg/m2,0,Once per week,NA
30278378,NCT02020577,7,afatinib,-1,30,mg,1,Once per day,NA
30278378,NCT02020577,7,cetuximab,-1,200,mg/m2,0,Once per week,NA
30278378,NCT02020577,7,afatinib,-0.5,40,mg,1,Once per day,NA
30278378,NCT02020577,7,cetuximab,-0.5,200,mg/m2,0,Once per week,NA
28280091,NCT00501410,25,cetuximab,NA,250,mg/m2,0,NA,"400 mg/m2 week 1
followed by weekly doses of 250 mg/m2"
28280091,NCT00501410,25,oxaliplatin,NA,85,mg/m2,0,q2 weeks,NA
28280091,NCT00501410,25,oxaliplatin,NA,85,mg/m2,0,q2 weeks,NA
28280091,NCT00501410,25,bolus 5-fu,NA,400,mg/m2,0,q2 weeks,NA
28280091,NCT00501410,25,leucovorin,NA,400,mg/m2,0,q2 weeks,"followed by a 46-hour infusion of 5-FU
(2,400 mg/m2 q2weeks)."
28280091,NCT00501410,25,dasatinib,1,100,mg,NA,NA,NA
28280091,NCT00501410,25,dasatinib,2,150,mg,NA,NA,NA
28280091,NCT00501410,25,dasatinib,3,200,mg,NA,NA,NA
32053229,NCT01962792,26,carfilzomib,NA,36,mg/m2,0,NA,"Carfilzomib was administered intravenously for
30 (+10) min on days 1, 2, 8, 9, 15, and 16 of a 28-day cycle from cycle
1 through cycle 12 and thereafter on days 1, 2, 15, and 16. The
carfilzomib starting dose was 20 mg/m2 on days 1 and 2 of cycle 1, and
if tolerated, the dose was increased to 36 mg/m2 on day 8 of cycle
1 and stayed at that level for subsequent cycles."
32053229,NCT01962792,26,dexamethasone,NA,20,mg,0,NA,"Dexamethasone was
administered (orally or intravenously) at a dose of 20 mg on days 1, 2,
8, 9, 15, 16, 22, and 23 of each treatment cycle, with patients ≥75 years
of age receiving a reduced dose of 10 mg on these days."
32053229,NCT01962792,26,ibrutinib,NA,840,mg,1,NA,NA
28422758,NCT02095054,28,regorafenib,1,80,mg,0,NA,NA
28422758,NCT02095054,28,cetuximab,1,200,mg/m2,0,NA,"(cetuximab i.v. 200 mg/m2
 followed 
by 150 mg/m2
 weekly"
28422758,NCT02095054,28,regorafenib,2,120,mg,NA,NA,NA
28422758,NCT02095054,28,cetuximab,2,200,mg/m2,0,NA,"(cetuximab i.v. 200 mg/m2
 followed 
by 150 mg/m2
 weekly"
28422758,NCT02095054,28,regorafenib,3,120,mg,NA,NA,NA
28422758,NCT02095054,28,cetuximab,3,300,mg/m2,0,NA,"(cetuximab i.v. 300 mg/m2
 followed 
by 200 mg/m2
 weekly"
30327312,NCT02350712,30,patritumab,-1,9,mg/kg,0,NA,"15 mg/kg
loading dose; 9 mg/kg maintenance dose"
30327312,NCT02350712,30,patritumab,1,9,mg/kg,0,NA,"18 mg/kg
loading dose; 9 mg/kg maintenance dose"
30327312,NCT02350712,30,cetuximab,1,250,mg/m2,0,NA,"400 mg/m2 loading dose; 250 mg/m2 maintenance
dose"
30327312,NCT02350712,30,cisplatin or cisplatin,1,100,mg/m2,0,NA,carboplatin (AUC of 5) 
30941307,NCT02429089,31,cetuximab,NA,250,mg/m2,NA,NA,"400 mg/m2 was given intravenously on cycle 1 day 1, followed by 250 mg/m2 weekly, as per standard recommendations"
30941307,NCT02429089,31,ribociclib,1,400,mg,NA,NA,NA
30941307,NCT02429089,31,ribociclib,2,600,mg,NA,NA,NA
32545260,NCT02277197,38,ficlatuzumab,1,10,mg/kg,NA,NA,NA
32545260,NCT02277197,38,cetuximab,1,500,mg/m2,NA,NA,"every 2 week, on Days 1 and 15 of a 28 day cycle"
32545260,NCT02277197,38,ficlatuzumab,2,20,mg/kg,NA,NA,NA
32545260,NCT02277197,38,cetuximab,2,500,mg/m2,NA,NA,NA
27311401,NA,42,palbociclib,1,100,mg,NA,NA,"400 mg/m2 was given intravenously
on cycle 1 day 1"
27311401,NA,42,cetuximab,1,250,mg/m2,NA,NA,NA
27311401,NA,42,palbociclib,2,125,mg,NA,NA,"400 mg/m2 was given intravenously
on cycle 1 day 1"
27311401,NA,42,cetuximab,2,250,mg/m2,NA,NA,NA
27311401,NA,42,palbociclib,-1,75,mg,NA,NA,"400 mg/m2 was given intravenously
on cycle 1 day 1"
27311401,NA,42,cetuximab,-1,250,mg/m2,NA,NA,NA
28600476,NCT01482377,43,cetuximab,1,250,mg/m2,NA,NA,400 mg/m2 for the first infusion
28600476,NCT01482377,43,lumretuzumab,1,400,mg,NA,NA,NA
28600476,NCT01482377,43,cetuximab,2,250,mg/m2,NA,NA,NA
28600476,NCT01482377,43,lumretuzumab,2,800,mg,NA,NA,NA
28600476,NCT01482377,43,cetuximab,3,250,mg/m2,NA,NA,NA
28600476,NCT01482377,43,lumretuzumab,3,1200,mg,NA,NA,NA
28600476,NCT01482377,43,cetuximab,4,250,mg/m2,NA,NA,NA
28600476,NCT01482377,43,lumretuzumab,4,1600,mg,NA,NA,NA
28600476,NCT01482377,43,cetuximab,5,250,mg/m2,NA,NA,NA
28600476,NCT01482377,43,lumretuzumab,5,2000,mg,NA,NA,NA
28600476,NCT01482377,44,erlotinib,1,150,mg,NA,NA,NA
28600476,NCT01482377,44,erlotinib,1,150,mg,NA,NA,NA
28600476,NCT01482377,44,lumretuzumab,1,400,mg,NA,NA,NA
28600476,NCT01482377,44,erlotinib,2,150,mg,NA,NA,NA
28600476,NCT01482377,44,erlotinib,2,150,mg,NA,NA,NA
28600476,NCT01482377,44,lumretuzumab,2,800,mg,NA,NA,NA
28600476,NCT01482377,44,erlotinib,3,150,mg,NA,NA,NA
28600476,NCT01482377,44,erlotinib,3,150,mg,NA,NA,NA
28600476,NCT01482377,44,lumretuzumab,3,1600,mg,NA,NA,NA
28600476,NCT01482377,44,erlotinib,4,150,mg,NA,NA,NA
28600476,NCT01482377,44,erlotinib,4,150,mg,NA,NA,NA
28600476,NCT01482377,44,lumretuzumab,4,2000,mg,NA,NA,NA
27729313,NCT01787500,45,vemurafenib,1,480,mg,2,NA,NA
27729313,NCT01787500,45,irinotecan,1,180,mg/m2,NA,NA,NA
27729313,NCT01787500,45,cetuximab,1,500,mg/m2,NA,NA,NA
27729313,NCT01787500,45,vemurafenib,2,720,mg,2,NA,NA
27729313,NCT01787500,45,irinotecan,2,180,mg/m2,NA,NA,NA
27729313,NCT01787500,45,cetuximab,2,500,mg/m2,NA,NA,NA
27729313,NCT01787500,45,vemurafenib,3,960,mg,2,NA,NA
27729313,NCT01787500,45,irinotecan,3,180,mg/m2,NA,NA,NA
27729313,NCT01787500,45,cetuximab,3,500,mg/m2,NA,NA,NA
34251048,NCT01755975,48,romidepsin,-1,8,mg/m2,0,NA,NA
34251048,NCT01755975,48,lenalidomide,-1,10,mg,0,NA,NA
34251048,NCT01755975,48,romidepsin,1,8,mg/m2,0,NA,NA
34251048,NCT01755975,48,lenalidomide,1,15,mg,0,NA,NA
34251048,NCT01755975,48,romidepsin,2,8,mg/m2,NA,NA,NA
34251048,NCT01755975,48,lenalidomide,2,25,mg,NA,NA,NA
34251048,NCT01755975,48,romidepsin,3,10,mg/m2,NA,NA,NA
34251048,NCT01755975,48,lenalidomide,3,25,mg,NA,NA,NA
34251048,NCT01755975,48,romidepsin,4,14,mg/m2,NA,NA,NA
34251048,NCT01755975,48,lenalidomide,4,25,mg,NA,NA,NA
31005227,NA,49,5-fu,1,800,mg/m2/d,NA,NA,NA
31005227,NA,49,cisplatin,1,100,mg/m2,NA,NA,NA
31005227,NA,49,cisplatin,1,100,mg/m2,NA,NA,NA
31005227,NA,49,cetuximab,1,250,mg/m2,NA,NA,NA
31005227,NA,49,5-fu,1,1000,mg/m2/d,NA,NA,NA
32335709,NA,50,carfilzomib,1,70,mg/m2,0,NA,"20 mg/m2 on Day 1 of Cycle 1, and 70 mg/m2 was given thereafter until progressive disease"
32335709,NA,50,dexamethasone,1,40,mg,0,NA,NA
28054329,NA,51,k-912/nc-6300,1,15,mg/m2,NA,NA,NA
28054329,NA,51,k-912/nc-6300,2,30,mg/m2,NA,NA,NA
28054329,NA,51,k-912/nc-6300,3,60,mg/m2,NA,NA,NA
28054329,NA,51,k-912/nc-6300,4,80,mg/m2,NA,NA,NA
28054329,NA,51,k-912/nc-6300,5,100,mg/m2,NA,NA,NA
28054329,NA,51,k-912/nc-6300,6,130,mg/m2,NA,NA,NA
28054329,NA,51,k-912/nc-6300,7,170,mg/m2,NA,NA,NA
28054329,NA,51,k-912/nc-6300,8,225,mg/m2,NA,NA,NA
32122924,NCT02889523,52,tazemetostat,1,400,mg,2,NA,NA
32122924,NCT02889523,52,rituximab,1,375,mg/m2,NA,NA,NA
32122924,NCT02889523,52,prednisolone,1,40,mg/m2,NA,NA,NA
32122924,NCT02889523,52,doxorubicine,1,50,mg/m2,NA,NA,NA
32122924,NCT02889523,52,cyclophosphamide,1,750,mg/m2,NA,NA,NA
32122924,NCT02889523,52,vincristine,1,1.4,mg/m2,NA,NA,NA
32122924,NCT02889523,52,tazemetostat,2,600,mg,2,NA,NA
32122924,NCT02889523,52,rituximab,2,375,mg/m2,NA,NA,NA
32122924,NCT02889523,52,prednisolone,2,40,mg/m2,NA,NA,NA
32122924,NCT02889523,52,doxorubicine,2,50,mg/m2,NA,NA,NA
32122924,NCT02889523,52,cyclophosphamide,2,750,mg/m2,NA,NA,NA
32122924,NCT02889523,52,vincristine,2,1.4,mg/m2,NA,NA,NA
32122924,NCT02889523,52,tazemetostat,3,800,mg,2,NA,NA
32122924,NCT02889523,52,rituximab,3,375,mg/m2,NA,NA,NA
32122924,NCT02889523,52,prednisolone,3,40,mg/m2,NA,NA,NA
32122924,NCT02889523,52,doxorubicine,3,50,mg/m2,NA,NA,NA
32122924,NCT02889523,52,cyclophosphamide,3,750,mg/m2,NA,NA,NA
32122924,NCT02889523,52,vincristine,3,1.4,mg/m2,NA,NA,NA
32381487, NCT03168061,53,"nc-6300
",1,125,mg/m2,NA,NA,NA
32381487, NCT03168061,53,"nc-6300
",2,150,mg/m2,NA,NA,NA
32381487, NCT03168061,53,"nc-6300
",3,170,mg/m2,NA,NA,NA
32381487, NCT03168061,53,"nc-6300
",4,185,mg/m2,NA,NA,NA
32381487, NCT03168061,53,"nc-6300
",5,200,mg/m2,NA,NA,NA
32381487, NCT03168061,53,"nc-6300
",6,215,mg/m2,NA,NA,NA
32381487, NCT03168061,53,"nc-6300
",7,230,mg/m2,NA,NA,NA
31675535,NCT00856037,54,doxorubicin,1,20,mg/m2,NA,NA,NA
31675535,NCT00856037,54,topotecan,1,0.85,mg/m2,NA,NA,NA
31675535,NCT00856037,54,topotecan,1,0.85,mg/m2,NA,NA,NA
31675535,NCT00856037,54,doxorubicin,2,20,mg/m2,NA,NA,NA
31675535,NCT00856037,54,topotecan,2,1.05,mg/m2,NA,NA,NA
31675535,NCT00856037,54,topotecan,2,1.05,mg/m2,NA,NA,NA
31675535,NCT00856037,54,doxorubicin,3,20,mg/m2,NA,NA,NA
31675535,NCT00856037,54,topotecan,3,1.35,mg/m2,NA,NA,NA
31675535,NCT00856037,54,topotecan,3,1.35,mg/m2,NA,NA,NA
31675535,NCT00856037,54,doxorubicin,4,20,mg/m2,NA,NA,NA
31675535,NCT00856037,54,topotecan,4,1.65,mg/m2,NA,NA,NA
31675535,NCT00856037,54,topotecan,4,1.65,mg/m2,NA,NA,NA
31675535,NCT00856037,54,doxorubicin,5,20,mg/m2,NA,NA,NA
31675535,NCT00856037,54,topotecan,5,2.3,mg/m2,NA,NA,NA
31675535,NCT00856037,54,topotecan,5,2.3,mg/m2,NA,NA,NA
26903311,NCT00878904,55,panobinostat,1,20,mg,NA,NA,NA
26903311,NCT00878904,55,epirubicin,1,75,mg/m2,NA,NA,NA
26903311,NCT00878904,55,panobinostat,2,30,mg,NA,NA,NA
26903311,NCT00878904,55,epirubicin,2,75,mg/m2,NA,NA,NA
26903311,NCT00878904,55,panobinostat,3,40,mg,NA,NA,NA
26903311,NCT00878904,55,epirubicin,3,75,mg/m2,NA,NA,NA
26903311,NCT00878904,55,panobinostat,4,50,mg,NA,NA,NA
26903311,NCT00878904,55,epirubicin,4,75,mg/m2,NA,NA,NA
26903311,NCT00878904,55,panobinostat,5,60,mg,NA,NA,NA
26903311,NCT00878904,55,epirubicin,5,75,mg/m2,NA,NA,NA
33219014,NCT02779855,56,talimogene laherparepvec,1,NA,NA,NA,10^6 plaque-forming units (PFU) x 5 doses,NA
33219014,NCT02779855,56,paclitaxel,1,80,mg/m2,NA,NA,NA
33219014,NCT02779855,56,doxorubicin,1,60,mg/m2,NA,NA,NA
33219014,NCT02779855,56,cyclophosphamide,1,600,mg/m2,NA,NA,NA
33219014,NCT02779855,56,talimogene laherparepvec,2,NA,NA,NA,"10^6 PFUsfirst dose, then 10^8 PFUs x 4 doses",NA
33219014,NCT02779855,56,paclitaxel,2,80,mg/m2,NA,NA,NA
33219014,NCT02779855,56,doxorubicin,2,60,mg/m2,NA,NA,NA
33219014,NCT02779855,56,cyclophosphamide,2,600,mg/m2,NA,NA,NA
29856514,NA,57,metformin,1,666,mg/m2,2,NA,mg/m2/day
29856514,NA,57,metformin,2,1000,mg/m2,2,NA,mg/m2/day
29856514,NA,57,metformin,3,1333,mg/m2,2,NA,mg/m2/day
27403082,NCT00878800,58,belinostat,1,600,mg/m2,NA,NA,NA
27403082,NCT00878800,58,doxorubicin,1,50,mg/m2,NA,NA,NA
27403082,NCT00878800,58,belinostat,2,600,mg/m2,NA,NA,NA
27403082,NCT00878800,58,doxorubicin,2,75,mg/m2,NA,NA,NA
27403082,NCT00878800,58,belinostat,3,800,mg/m2,NA,NA,NA
27403082,NCT00878800,58,doxorubicin,3,75,mg/m2,NA,NA,NA
27403082,NCT00878800,58,belinostat,4,1000,mg/m2,NA,NA,NA
27403082,NCT00878800,58,doxorubicin,4,75,mg/m2,NA,NA,NA
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902 ,59,acp-196,1,100,mg,1,NA,"once daily taken orally, days 1–21"
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902 ,59,r-chop,1,NA,NA,NA,NA,NA
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902 ,59,acp-196,2,100,mg,2,NA,"twice daily, orally days 1–21"
33093947,EudraCT Number: 2015-003213-18; ISRCTN13626902 ,59,r-chop,2,NA,NA,NA,NA,NA
33602316,NCT01839097,60,belinostat,3,1000,mg/m2,NA,Days 1-3,NA
33602316,NCT01839097,60,belinostat,5,1000,mg/m2,NA,Days 1-5,NA
29055839,NA,61,dts-201,1,80,mg/m2,NA,NA,NA
29055839,NA,61,dts-201,2,160,mg/m2,NA,NA,NA
29055839,NA,61,dts-201,3,250,mg/m2,NA,NA,NA
29055839,NA,61,dts-201,4,400,mg/m2,NA,NA,NA
33474828,NCT02677116,62,olaratumab,A,15,mg/kg,NA,NA,NA
33474828,NCT02677116,62,olaratumab,B,20,mg/kg,NA,NA,NA
33474828,NCT02677116,62,olaratumab,C,20,mg/kg,NA,NA,NA
33474828,NCT02677116,62,doxorubicin,C,37.5,mg/m2,NA,NA,NA
33474828,NCT02677116,62,ifosfamide,C,2.8,g/m2,NA,NA,NA
33474828,NCT02677116,62,vincristine,C,1.5,mg/m2,NA,NA,NA
33474828,NCT02677116,62,irinotecan,C,50,mg/m2,NA,NA,NA
32055930,NCT01145430,63,veliparib,-2,30,mg,NA,on days 1–7 twice daily (BID),NA
32055930,NCT01145430,63,pegylated liposomal doxorubicin,-2,40,mg/m2,NA,on day 1 of a 28-day cycle,NA
32055930,NCT01145430,63,veliparib,-1,50,mg,NA,on days 1–7 twice daily (BID),NA
32055930,NCT01145430,63,pegylated liposomal doxorubicin,-1,40,mg/m2,NA,on day 1 of a 28-day cycle,NA
32055930,NCT01145430,63,veliparib,1,50,mg,NA,on days 1–14 twice daily (BID),NA
32055930,NCT01145430,63,pegylated liposomal doxorubicin,1,40,mg/m2,NA,on day 1 of a 28-day cycle,NA
32055930,NCT01145430,63,veliparib,2,100,mg,NA,on days 1–14 twice daily (BID),NA
32055930,NCT01145430,63,pegylated liposomal doxorubicin,2,40,mg/m2,NA,on day 1 of a 28-day cycle,NA
32055930,NCT01145430,63,veliparib,3,150,mg,NA,on days 1–14 twice daily (BID),NA
32055930,NCT01145430,63,pegylated liposomal doxorubicin,3,40,mg/m2,NA,on day 1 of a 28-day cycle,NA
32055930,NCT01145430,63,veliparib,4,200,mg,NA,on days 1–14 twice daily (BID),NA
32055930,NCT01145430,63,pegylated liposomal doxorubicin,4,40,mg/m2,NA,on day 1 of a 28-day cycle,NA
32055930,NCT01145430,63,veliparib,5,250,mg,NA,on days 1–14 twice daily (BID),NA
32055930,NCT01145430,63,pegylated liposomal doxorubicin,5,40,mg/m2,NA,on day 1 of a 28-day cycle,NA
32055930,NCT01145430,63,veliparib,6,300,mg,NA,on days 1–14 twice daily (BID),NA
32055930,NCT01145430,63,pegylated liposomal doxorubicin,6,40,mg/m2,NA,on day 1 of a 28-day cycle,NA
32055930,NCT01145430,63,veliparib,7,350,mg,NA,on days 1–14 twice daily (BID),NA
32055930,NCT01145430,63,pegylated liposomal doxorubicin,7,40,mg/m2,NA,on day 1 of a 28-day cycle,NA
32055930,NCT01145430,63,veliparib,8,400,mg,NA,on days 1–14 twice daily (BID),NA
32055930,NCT01145430,63,pegylated liposomal doxorubicin,8,40,mg/m2,NA,on day 1 of a 28-day cycle,NA
27255289,NA,64,s-1,1,20,mg/m2,NA,NA,NA
27255289,NA,64,epirubicin,1,50,mg/m2,NA,NA,NA
27255289,NA,64,oxaliplatin,1,130,mg/m2,NA,NA,NA
27255289,NA,64,oxaliplatin,1,130,mg/m2,NA,NA,NA
27255289,NA,64,s-1,2,25,mg.m2,NA,NA,NA
27255289,NA,64,epirubicin,2,50,mg/m2,NA,NA,NA
27255289,NA,64,oxaliplatin,2,130,mg/m2,NA,NA,NA
27255289,NA,64,oxaliplatin,2,130,mg/m2,NA,NA,NA
29174203,NA,65,"pld (pegylated liposomal
doxorubicin)",1,30,mg/m2,NA,NA,NA
29174203,NA,65,cyclophosphamide,1,60,mg/m2,NA,NA,NA
29174203,NA,65,"pld (pegylated liposomal
doxorubicin)",2,35,mg/m2,NA,NA,NA
29174203,NA,65,cyclophosphamide,2,60,mg/m2,NA,NA,NA
27577069,NCT01176799,66,sunitinib,1,25,mg,NA,NA,NA
27577069,NCT01176799,66,sunitinib,-1,12.5,mg,NA,NA,NA
31772119,NCT01902225,67,romidepsin,1,8,mg/m2,NA,NA,"over 4 hours on days 1, 8, and 15,
following LD"
31772119,NCT01902225,67,liposomal doxorubicin,1,20,mg/m2,NA,NA,"over 1 hour on day 1 of
each 28-day cycle"
31772119,NCT01902225,67,romidepsin,2,10,mg/m2,NA,NA,"over 4 hours on days 1, 8, and 15,
following LD"
31772119,NCT01902225,67,liposomal doxorubicin,2,20,mg/m2,NA,NA,"over 1 hour on day 1 of
each 28-day cycle"
31772119,NCT01902225,67,romidepsin,3,12,mg/m2,NA,NA,"over 4 hours on days 1, 8, and 15,
following LD"
31772119,NCT01902225,67,liposomal doxorubicin,3,20,mg/m2,NA,NA,"over 1 hour on day 1 of
each 28-day cycle"
31772119,NCT01902225,67,romidepsin,4,14,mg/m2,NA,NA,"over 4 hours on days 1, 8, and 15,
following LD"
31772119,NCT01902225,67,liposomal doxorubicin,4,20,mg/m2,NA,NA,"over 1 hour on day 1 of
each 28-day cycle"
29104762,NCT01655693,68,dt,1,10,mg/m2,NA,NA,NA
29104762,NCT01655693,68,dt,1,10,mg/m2,NA,NA,NA
29104762,NCT01655693,68,dt,2,20,mg/m2,NA,NA,NA
29104762,NCT01655693,68,dt,2,20,mg/m2,NA,NA,NA
29104762,NCT01655693,68,dt,3,30,mg/m2,NA,NA,NA
29104762,NCT01655693,68,dt,3,30,mg/m2,NA,NA,NA
29104762,NCT01655693,68,dt,4,40,mg/m2,NA,NA,NA
29104762,NCT01655693,68,dt,4,40,mg/m2,NA,NA,NA
30361524,NCT01304797,72,mm-302,1,8,mg/m2,NA,NA,once every 4 weeks (q4w)
30361524,NCT01304797,72,mm-302,2,16,mg/m2,NA,NA,NA
30361524,NCT01304797,72,mm-302,3,30,mg/m2,NA,NA,NA
30361524,NCT01304797,72,mm-302,4,40,mg/m2,NA,NA,NA
30361524,NCT01304797,72,mm-302,5,50,mg/m2,NA,NA,NA
30361524,NCT01304797,73,mm-302,1,30,mg/m2,NA,NA,every 2 weeks (q2w).
30361524,NCT01304797,73,trastuzumab,1,4,mg/kg,NA,NA,with 6 mg/kg loading
30361524,NCT01304797,73,mm-302,2,40,mg/m2,NA,NA,NA
30361524,NCT01304797,73,trastuzumab,2,4,mg/kg,NA,NA,with 6 mg/kg loading
30361524,NCT01304797,73,mm-302,1,30,mg/m2,NA,NA,NA
30361524,NCT01304797,73,trastuzumab,1,6,mg/kg,NA,NA,with 8 mg/kg loading
30361524,NCT01304797,73,mm-302,2,30,mg/m2,NA,NA,NA
30361524,NCT01304797,73,trastuzumab,2,8,mg/kg,NA,NA,with 8 mg/kg loading
30361524,NCT01304797,74,mm-302,1,30,mg/m2,NA,NA,NA
30361524,NCT01304797,74,trastuzumab,1,6,mg/kg,NA,NA,with 8 mg/kg loading
30361524,NCT01304797,74,cyclophosphamid,1,450,mg/m2,NA,NA,q3w
33095287,NCT01606878,75,crizotinib,1,165,mg/m2,BID,D1-21,NA
33095287,NCT01606878,75,cyclophosphamide,1,250,mg/m2,NA,D1-5,NA
33095287,NCT01606878,75,topotecan,1,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,75,topotecan,1,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,75,crizotinib,2,215,mg/m2,BID,D1-21,NA
33095287,NCT01606878,75,cyclophosphamide,2,250,mg/m2,NA,D1-5,NA
33095287,NCT01606878,75,topotecan,2,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,75,topotecan,2,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,76,crizotinib,1,165,mg/m2,BID,D1-21,NA
33095287,NCT01606878,76,vincristine,1,1.5,mg/m2,NA,D1,NA
33095287,NCT01606878,76,doxorubicin,1,45,mg/m2,NA,D1,NA
33095287,NCT01606878,76,crizotinib,2,215,mg/m2,BID,D1-21,NA
33095287,NCT01606878,76,vincristine,2,1.5,mg/m2,NA,D1,NA
33095287,NCT01606878,76,doxorubicin,2,45,mg/m2,NA,D1,NA
33095287,NCT01606878,76,crizotinib,3,280,mg/m2,BID,D1-21,NA
33095287,NCT01606878,76,vincristine,3,1.5,mg/m2,NA,D1,NA
33095287,NCT01606878,76,doxorubicin,3,45,mg/m2,NA,D1,NA
33095287,NCT01606878,77,crizotinib,1,165,mg/m2,BID,D1-21,NA
33095287,NCT01606878,77,cyclophosphamide,1,250,mg/m2,NA,D1-5,NA
33095287,NCT01606878,77,topotecan,1,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,77,topotecan,1,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,77,crizotinib,2,215,mg/m2,BID,D1-21,NA
33095287,NCT01606878,77,cyclophosphamide,2,250,mg/m2,NA,D1-5,NA
33095287,NCT01606878,77,topotecan,2,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,77,topotecan,2,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,77,crizotinib,3,280,mg/m2,BID,D1-21,NA
33095287,NCT01606878,77,cyclophosphamide,3,250,mg/m2,NA,D1-5,NA
33095287,NCT01606878,77,topotecan,3,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,77,topotecan,3,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,78,crizotinib,1,165,mg/m2,BID,D1-21,NA
33095287,NCT01606878,78,cyclophosphamide,1,250,mg/m2,NA,D1-5,NA
33095287,NCT01606878,78,topotecan,1,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,78,topotecan,1,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,78,crizotinib,2,215,mg/m2,BID,D1-21,NA
33095287,NCT01606878,78,cyclophosphamide,2,250,mg/m2,NA,D1-5,NA
33095287,NCT01606878,78,topotecan,2,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,78,topotecan,2,0.75,mg/m2,NA,D1-5,NA
33095287,NCT01606878,75,crizotinib,1,165,mg/m2,BID,D1-21,OS
33095287,NCT01606878,75,crizotinib,2,215,mg/m2,BID,D1-21,OS
33095287,NCT01606878,76,crizotinib,1,165,mg/m2,BID,D1-21,OS
33095287,NCT01606878,76,crizotinib,2,215,mg/m2,BID,D1-21,OS
33095287,NCT01606878,76,crizotinib,3,280,mg/m2,BID,D1-21,OS
